ID,name,cost,category,is_consumable,part_number,description,last_price,asset_name,location_name,quantity,assigned_to,barcode,vendor
139,Mounting Bracket,56.42,Security,false,MBR-CAM-HP06,Outdoor mounting bracket,58.97,Loading-Bay-Camera-HP-06,Loading Bay - HP-06,26,Security Officer,PRT-HP06-0139,Hikvision
140,Radio Mount Kit,106.8,Network,false,MKT-IP20-HP06,Microwave radio mounting kit,107.26,Microwave-Radio-HP-06,Roof - HP-06,21,Field Technician,PRT-HP06-0140,Ceragon
141,LC Connector Pack,18.37,Cabling,true,LC-CONN-HP06,Single-mode LC connector pack,18.23,Fiber-Patch-Panel-HP-06,IDF Room 1 - HP-06,74,Cabling Technician,PRT-HP06-0141,Corning
142,Power Supply Module,360.5,Network,false,PSU-C93-HP06,Replacement switch power supply,371.35,Edge-Switch-HP-06,IDF Room 2 - HP-06,45,Network Engineer,PRT-HP06-0142,Cisco
143,RF Jumper Cable,84.64,Cellular,true,RFC-AIR-HP06,Low-loss RF jumper cable,86.04,5G-Antenna-HP-06,Telecom Mast - HP-06,336,Field Technician,PRT-HP06-0143,Ericsson
144,Timing Module,744.88,Cellular,false,TIM-BBU-HP06,Synchronization module for BBU,747.86,Baseband-Unit-HP-06,Base Station - HP-06,13,Field Technician,PRT-HP06-0144,Nokia
145,Surge Protector,62.87,Cellular,true,SPD-RRU-HP06,Outdoor RF surge protector,63.59,Radio-Unit-HP-06,Antenna Array - HP-06,127,Field Technician,PRT-HP06-0145,Ericsson
146,Antenna Kit,46.98,Facilities,false,ANT-IOT-HP06,LTE antenna kit for gateway,47.44,Sensor-Gateway-HP-06,Storage Room - HP-06,9,Facilities Supervisor,PRT-HP06-0146,Advantech
147,Controller SSD,297.99,Network,false,SSD-WLC-HP06,SSD for wireless controller,296.07,WiFi-Controller-HP-06,Office Floor 1 - HP-06,17,Network Engineer,PRT-HP06-0147,Cisco
148,PoE Injector,66.64,Network,false,POE-AP-HP06,802.3at PoE injector,65.69,Access-Point-HP-06,Office Floor 2 - HP-06,25,Network Engineer,PRT-HP06-0148,Aruba
149,GPU Accelerator,11517.07,Server,false,GPU-A100-HP06,NVIDIA A100 Tensor Core GPU,11447.48,AI-Analytics-Server-HP-06,Lab A - HP-06,6,AI Specialist,PRT-HP06-0149,NVIDIA
150,Capture SSD,487.72,Network,false,SSD-NMA-HP06,High-write SSD for packet capture,502.32,Monitoring-Appliance-HP-06,Workshop - HP-06,16,Network Engineer,PRT-HP06-0150,Fluke
151,SSD Module,444.87,Network,false,SSD-OBS-CT07,Enterprise SSD for monitoring appliance,465.05,Monitoring-System-CT-07,Infrastructure Site - CT-07,14,Network Engineer,PRT-CT07-0151,SolarWinds
152,Cisco Line Card,7833.17,Network,false,LC-ASR-CT07,100G line card for ASR series router,8106.01,Core-Router-CT-07,Network Operations Center (NOC) - CT-07,57,Network Engineer,PRT-CT07-0152,Cisco
153,RAID Drive,367.82,Security,false,DRV-VMS-CT07,12TB surveillance-rated HDD,374.05,Security-VMS-Server-CT-07,Security Operations Center (SOC) - CT-07,19,Security Officer,PRT-CT07-0153,Milestone
154,Server Memory Kit,627.33,Server,false,RAM-R750-CT07,64GB DDR4 RDIMM memory kit,628.13,Virtualization-Host-CT-07,Server Room A - CT-07,13,System Administrator,PRT-CT07-0154,Dell
155,NVMe SSD,1226.69,Server,false,SSD-AFF-CT07,Enterprise NVMe SSD for storage array,1219.78,Storage-Array-CT-07,Server Room B - CT-07,3,Storage Administrator,PRT-CT07-0155,NetApp
156,Juniper Transceiver,231.7,Network,false,SFP-EX-CT07,10G SFP+ transceiver,229.07,Access-Switch-CT-07,Network Closet - CT-07,46,Network Engineer,PRT-CT07-0156,Juniper
157,Access Card,11.79,Security,true,CARD-N2-CT07,Proximity access card,12.37,Access-Control-Panel-CT-07,Access Control Room - CT-07,76,Security Officer,PRT-CT07-0157,Paxton
158,Surveillance HDD,304.75,Security,false,HDD-NVR-CT07,8TB surveillance hard drive,311.82,NVR-CT-07,Video Surveillance Room - CT-07,6,Security Officer,PRT-CT07-0158,Hikvision
159,UPS Battery Module,427.05,Power,false,BATT-SRT-CT07,Replacement battery cartridge,422.67,UPS-CT-07,UPS Room - CT-07,11,Electrician,PRT-CT07-0159,APC
160,Contactor Kit,634.07,Power,false,CTK-ATS-CT07,Replacement contactor set for ATS panel,657.79,ATS-Panel-CT-07,Electrical Room - CT-07,26,Electrician,PRT-CT07-0160,Schneider Electric
161,Air Filter Kit,93.38,Cooling,true,FLT-PDX-CT07,Precision cooling filter pack,97.65,CRAC-Unit-CT-07,HVAC Plant - CT-07,132,HVAC Technician,PRT-CT07-0161,Vertiv
162,Generator Service Kit,194.27,Power,true,SVK-GEN-CT07,"Oil, air and fuel filter service kit",189.63,Generator-CT-07,Generator Yard - CT-07,63,Electrician,PRT-CT07-0162,Cummins
163,Camera Module,137.34,Security,false,CAM-KSK-CT07,Replacement facial recognition camera,141.41,Visitor-Kiosk-CT-07,Reception - CT-07,28,Security Officer,PRT-CT07-0163,ZKTeco
164,Mounting Bracket,56.5,Security,false,MBR-CAM-CT07,Outdoor mounting bracket,56.9,Loading-Bay-Camera-CT-07,Loading Bay - CT-07,15,Security Officer,PRT-CT07-0164,Hikvision
165,Radio Mount Kit,102.97,Network,false,MKT-IP20-CT07,Microwave radio mounting kit,102.3,Microwave-Radio-CT-07,Roof - CT-07,18,Field Technician,PRT-CT07-0165,Ceragon
166,LC Connector Pack,17.07,Cabling,true,LC-CONN-CT07,Single-mode LC connector pack,17.54,Fiber-Patch-Panel-CT-07,IDF Room 1 - CT-07,355,Cabling Technician,PRT-CT07-0166,Corning
167,Power Supply Module,331.47,Network,false,PSU-C93-CT07,Replacement switch power supply,342.01,Edge-Switch-CT-07,IDF Room 2 - CT-07,53,Network Engineer,PRT-CT07-0167,Cisco
168,RF Jumper Cable,91.65,Cellular,true,RFC-AIR-CT07,Low-loss RF jumper cable,91.38,5G-Antenna-CT-07,Telecom Mast - CT-07,108,Field Technician,PRT-CT07-0168,Ericsson
169,Timing Module,819.39,Cellular,false,TIM-BBU-CT07,Synchronization module for BBU,815.96,Baseband-Unit-CT-07,Base Station - CT-07,21,Field Technician,PRT-CT07-0169,Nokia
170,Surge Protector,61.61,Cellular,true,SPD-RRU-CT07,Outdoor RF surge protector,61.74,Radio-Unit-CT-07,Antenna Array - CT-07,171,Field Technician,PRT-CT07-0170,Ericsson
171,Antenna Kit,48.95,Facilities,false,ANT-IOT-CT07,LTE antenna kit for gateway,47.66,Sensor-Gateway-CT-07,Storage Room - CT-07,29,Facilities Supervisor,PRT-CT07-0171,Advantech
172,Controller SSD,272.13,Network,false,SSD-WLC-CT07,SSD for wireless controller,277.7,WiFi-Controller-CT-07,Office Floor 1 - CT-07,13,Network Engineer,PRT-CT07-0172,Cisco
173,PoE Injector,69.43,Network,false,POE-AP-CT07,802.3at PoE injector,70.18,Access-Point-CT-07,Office Floor 2 - CT-07,51,Network Engineer,PRT-CT07-0173,Aruba
174,GPU Accelerator,11972.79,Server,false,GPU-A100-CT07,NVIDIA A100 Tensor Core GPU,12024.03,AI-Analytics-Server-CT-07,Lab A - CT-07,4,AI Specialist,PRT-CT07-0174,NVIDIA
175,Capture SSD,485.88,Network,false,SSD-NMA-CT07,High-write SSD for packet capture,472.77,Monitoring-Appliance-CT-07,Workshop - CT-07,30,Network Engineer,PRT-CT07-0175,Fluke
176,SSD Module,430.49,Network,false,SSD-OBS-BD08,Enterprise SSD for monitoring appliance,442.81,Monitoring-System-BD-08,Infrastructure Site - BD-08,11,Network Engineer,PRT-BD08-0176,SolarWinds
177,Cisco Line Card,8798.52,Network,false,LC-ASR-BD08,100G line card for ASR series router,8962.57,Core-Router-BD-08,Network Operations Center (NOC) - BD-08,28,Network Engineer,PRT-BD08-0177,Cisco
178,RAID Drive,353.86,Security,false,DRV-VMS-BD08,12TB surveillance-rated HDD,348.69,Security-VMS-Server-BD-08,Security Operations Center (SOC) - BD-08,21,Security Officer,PRT-BD08-0178,Milestone
179,Server Memory Kit,620.74,Server,false,RAM-R750-BD08,64GB DDR4 RDIMM memory kit,623.28,Virtualization-Host-BD-08,Server Room A - BD-08,15,System Administrator,PRT-BD08-0179,Dell
180,NVMe SSD,1162.2,Server,false,SSD-AFF-BD08,Enterprise NVMe SSD for storage array,1180.92,Storage-Array-BD-08,Server Room B - BD-08,11,Storage Administrator,PRT-BD08-0180,NetApp
181,Juniper Transceiver,240.2,Network,false,SFP-EX-BD08,10G SFP+ transceiver,247.12,Access-Switch-BD-08,Network Closet - BD-08,52,Network Engineer,PRT-BD08-0181,Juniper
182,Access Card,12.44,Security,true,CARD-N2-BD08,Proximity access card,12.32,Access-Control-Panel-BD-08,Access Control Room - BD-08,247,Security Officer,PRT-BD08-0182,Paxton
183,Surveillance HDD,299.97,Security,false,HDD-NVR-BD08,8TB surveillance hard drive,295.67,NVR-BD-08,Video Surveillance Room - BD-08,30,Security Officer,PRT-BD08-0183,Hikvision
184,UPS Battery Module,419.3,Power,false,BATT-SRT-BD08,Replacement battery cartridge,428.22,UPS-BD-08,UPS Room - BD-08,19,Electrician,PRT-BD08-0184,APC
185,Contactor Kit,618.2,Power,false,CTK-ATS-BD08,Replacement contactor set for ATS panel,621.23,ATS-Panel-BD-08,Electrical Room - BD-08,9,Electrician,PRT-BD08-0185,Schneider Electric
186,Air Filter Kit,91.08,Cooling,true,FLT-PDX-BD08,Precision cooling filter pack,88.6,CRAC-Unit-BD-08,HVAC Plant - BD-08,195,HVAC Technician,PRT-BD08-0186,Vertiv
187,Generator Service Kit,168.96,Power,true,SVK-GEN-BD08,"Oil, air and fuel filter service kit",165.14,Generator-BD-08,Generator Yard - BD-08,374,Electrician,PRT-BD08-0187,Cummins
188,Camera Module,144.3,Security,false,CAM-KSK-BD08,Replacement facial recognition camera,145.75,Visitor-Kiosk-BD-08,Reception - BD-08,18,Security Officer,PRT-BD08-0188,ZKTeco
189,Mounting Bracket,57.19,Security,false,MBR-CAM-BD08,Outdoor mounting bracket,59.73,Loading-Bay-Camera-BD-08,Loading Bay - BD-08,13,Security Officer,PRT-BD08-0189,Hikvision
190,Radio Mount Kit,112.72,Network,false,MKT-IP20-BD08,Microwave radio mounting kit,115.95,Microwave-Radio-BD-08,Roof - BD-08,6,Field Technician,PRT-BD08-0190,Ceragon
191,LC Connector Pack,17.09,Cabling,true,LC-CONN-BD08,Single-mode LC connector pack,16.66,Fiber-Patch-Panel-BD-08,IDF Room 1 - BD-08,103,Cabling Technician,PRT-BD08-0191,Corning
192,Power Supply Module,348.08,Network,false,PSU-C93-BD08,Replacement switch power supply,348.16,Edge-Switch-BD-08,IDF Room 2 - BD-08,21,Network Engineer,PRT-BD08-0192,Cisco
193,RF Jumper Cable,88.93,Cellular,true,RFC-AIR-BD08,Low-loss RF jumper cable,86.56,5G-Antenna-BD-08,Telecom Mast - BD-08,118,Field Technician,PRT-BD08-0193,Ericsson
194,Timing Module,771.2,Cellular,false,TIM-BBU-BD08,Synchronization module for BBU,770.94,Baseband-Unit-BD-08,Base Station - BD-08,29,Field Technician,PRT-BD08-0194,Nokia
195,Surge Protector,68.19,Cellular,true,SPD-RRU-BD08,Outdoor RF surge protector,66.16,Radio-Unit-BD-08,Antenna Array - BD-08,367,Field Technician,PRT-BD08-0195,Ericsson
196,Antenna Kit,47.63,Facilities,false,ANT-IOT-BD08,LTE antenna kit for gateway,48.82,Sensor-Gateway-BD-08,Storage Room - BD-08,28,Facilities Supervisor,PRT-BD08-0196,Advantech
197,Controller SSD,273.74,Network,false,SSD-WLC-BD08,SSD for wireless controller,266.53,WiFi-Controller-BD-08,Office Floor 1 - BD-08,26,Network Engineer,PRT-BD08-0197,Cisco
198,PoE Injector,74.0,Network,false,POE-AP-BD08,802.3at PoE injector,77.14,Access-Point-BD-08,Office Floor 2 - BD-08,50,Network Engineer,PRT-BD08-0198,Aruba
199,GPU Accelerator,11755.72,Server,false,GPU-A100-BD08,NVIDIA A100 Tensor Core GPU,12152.43,AI-Analytics-Server-BD-08,Lab A - BD-08,5,AI Specialist,PRT-BD08-0199,NVIDIA
200,Capture SSD,489.06,Network,false,SSD-NMA-BD08,High-write SSD for packet capture,481.05,Monitoring-Appliance-BD-08,Workshop - BD-08,22,Network Engineer,PRT-BD08-0200,Fluke
201,SSD Module,482.51,Network,false,SSD-OBS-HN09,Enterprise SSD for monitoring appliance,493.92,Monitoring-System-HN-09,Infrastructure Site - HN-09,22,Network Engineer,PRT-HN09-0201,SolarWinds
202,Cisco Line Card,8695.82,Network,false,LC-ASR-HN09,100G line card for ASR series router,8697.22,Core-Router-HN-09,Network Operations Center (NOC) - HN-09,49,Network Engineer,PRT-HN09-0202,Cisco
203,RAID Drive,354.93,Security,false,DRV-VMS-HN09,12TB surveillance-rated HDD,346.81,Security-VMS-Server-HN-09,Security Operations Center (SOC) - HN-09,24,Security Officer,PRT-HN09-0203,Milestone
204,Server Memory Kit,643.5,Server,false,RAM-R750-HN09,64GB DDR4 RDIMM memory kit,640.2,Virtualization-Host-HN-09,Server Room A - HN-09,19,System Administrator,PRT-HN09-0204,Dell
205,NVMe SSD,1257.12,Server,false,SSD-AFF-HN09,Enterprise NVMe SSD for storage array,1313.33,Storage-Array-HN-09,Server Room B - HN-09,3,Storage Administrator,PRT-HN09-0205,NetApp
206,Juniper Transceiver,252.95,Network,false,SFP-EX-HN09,10G SFP+ transceiver,255.48,Access-Switch-HN-09,Network Closet - HN-09,33,Network Engineer,PRT-HN09-0206,Juniper
207,Access Card,12.0,Security,true,CARD-N2-HN09,Proximity access card,12.31,Access-Control-Panel-HN-09,Access Control Room - HN-09,150,Security Officer,PRT-HN09-0207,Paxton
208,Surveillance HDD,306.15,Security,false,HDD-NVR-HN09,8TB surveillance hard drive,319.85,NVR-HN-09,Video Surveillance Room - HN-09,8,Security Officer,PRT-HN09-0208,Hikvision
209,UPS Battery Module,431.95,Power,false,BATT-SRT-HN09,Replacement battery cartridge,453.22,UPS-HN-09,UPS Room - HN-09,25,Electrician,PRT-HN09-0209,APC
210,Contactor Kit,608.12,Power,false,CTK-ATS-HN09,Replacement contactor set for ATS panel,605.61,ATS-Panel-HN-09,Electrical Room - HN-09,26,Electrician,PRT-HN09-0210,Schneider Electric
211,Air Filter Kit,97.98,Cooling,true,FLT-PDX-HN09,Precision cooling filter pack,97.32,CRAC-Unit-HN-09,HVAC Plant - HN-09,84,HVAC Technician,PRT-HN09-0211,Vertiv
212,Generator Service Kit,192.97,Power,true,SVK-GEN-HN09,"Oil, air and fuel filter service kit",193.78,Generator-HN-09,Generator Yard - HN-09,96,Electrician,PRT-HN09-0212,Cummins
213,Camera Module,129.56,Security,false,CAM-KSK-HN09,Replacement facial recognition camera,128.17,Visitor-Kiosk-HN-09,Reception - HN-09,16,Security Officer,PRT-HN09-0213,ZKTeco
214,Mounting Bracket,56.16,Security,false,MBR-CAM-HN09,Outdoor mounting bracket,56.48,Loading-Bay-Camera-HN-09,Loading Bay - HN-09,1,Security Officer,PRT-HN09-0214,Hikvision
215,Radio Mount Kit,106.02,Network,false,MKT-IP20-HN09,Microwave radio mounting kit,109.16,Microwave-Radio-HN-09,Roof - HN-09,26,Field Technician,PRT-HN09-0215,Ceragon
216,LC Connector Pack,17.73,Cabling,true,LC-CONN-HN09,Single-mode LC connector pack,18.19,Fiber-Patch-Panel-HN-09,IDF Room 1 - HN-09,211,Cabling Technician,PRT-HN09-0216,Corning
217,Power Supply Module,372.31,Network,false,PSU-C93-HN09,Replacement switch power supply,384.67,Edge-Switch-HN-09,IDF Room 2 - HN-09,11,Network Engineer,PRT-HN09-0217,Cisco
218,RF Jumper Cable,78.73,Cellular,true,RFC-AIR-HN09,Low-loss RF jumper cable,79.99,5G-Antenna-HN-09,Telecom Mast - HN-09,344,Field Technician,PRT-HN09-0218,Ericsson
219,Timing Module,754.86,Cellular,false,TIM-BBU-HN09,Synchronization module for BBU,790.57,Baseband-Unit-HN-09,Base Station - HN-09,6,Field Technician,PRT-HN09-0219,Nokia
220,Surge Protector,61.25,Cellular,true,SPD-RRU-HN09,Outdoor RF surge protector,61.82,Radio-Unit-HN-09,Antenna Array - HN-09,170,Field Technician,PRT-HN09-0220,Ericsson
221,Antenna Kit,45.25,Facilities,false,ANT-IOT-HN09,LTE antenna kit for gateway,46.99,Sensor-Gateway-HN-09,Storage Room - HN-09,7,Facilities Supervisor,PRT-HN09-0221,Advantech
222,Controller SSD,298.08,Network,false,SSD-WLC-HN09,SSD for wireless controller,298.68,WiFi-Controller-HN-09,Office Floor 1 - HN-09,3,Network Engineer,PRT-HN09-0222,Cisco
223,PoE Injector,72.2,Network,false,POE-AP-HN09,802.3at PoE injector,71.15,Access-Point-HN-09,Office Floor 2 - HN-09,27,Network Engineer,PRT-HN09-0223,Aruba
224,GPU Accelerator,13428.04,Server,false,GPU-A100-HN09,NVIDIA A100 Tensor Core GPU,13291.07,AI-Analytics-Server-HN-09,Lab A - HN-09,5,AI Specialist,PRT-HN09-0224,NVIDIA
225,Capture SSD,532.69,Network,false,SSD-NMA-HN09,High-write SSD for packet capture,522.95,Monitoring-Appliance-HN-09,Workshop - HN-09,26,Network Engineer,PRT-HN09-0225,Fluke
226,SSD Module,426.65,Network,false,SSD-OBS-HN10,Enterprise SSD for monitoring appliance,438.71,Monitoring-System-HN-10,Infrastructure Site - HN-10,10,Network Engineer,PRT-HN10-0226,SolarWinds
227,Cisco Line Card,8646.16,Network,false,LC-ASR-HN10,100G line card for ASR series router,9006.92,Core-Router-HN-10,Network Operations Center (NOC) - HN-10,14,Network Engineer,PRT-HN10-0227,Cisco
228,RAID Drive,385.75,Security,false,DRV-VMS-HN10,12TB surveillance-rated HDD,400.4,Security-VMS-Server-HN-10,Security Operations Center (SOC) - HN-10,16,Security Officer,PRT-HN10-0228,Milestone
229,Server Memory Kit,661.51,Server,false,RAM-R750-HN10,64GB DDR4 RDIMM memory kit,675.49,Virtualization-Host-HN-10,Server Room A - HN-10,12,System Administrator,PRT-HN10-0229,Dell
230,NVMe SSD,1200.43,Server,false,SSD-AFF-HN10,Enterprise NVMe SSD for storage array,1190.9,Storage-Array-HN-10,Server Room B - HN-10,7,Storage Administrator,PRT-HN10-0230,NetApp
231,Juniper Transceiver,245.17,Network,false,SFP-EX-HN10,10G SFP+ transceiver,239.32,Access-Switch-HN-10,Network Closet - HN-10,19,Network Engineer,PRT-HN10-0231,Juniper
232,Access Card,12.89,Security,true,CARD-N2-HN10,Proximity access card,12.94,Access-Control-Panel-HN-10,Access Control Room - HN-10,270,Security Officer,PRT-HN10-0232,Paxton
233,Surveillance HDD,299.4,Security,false,HDD-NVR-HN10,8TB surveillance hard drive,308.37,NVR-HN-10,Video Surveillance Room - HN-10,8,Security Officer,PRT-HN10-0233,Hikvision
234,UPS Battery Module,398.15,Power,false,BATT-SRT-HN10,Replacement battery cartridge,397.89,UPS-HN-10,UPS Room - HN-10,5,Electrician,PRT-HN10-0234,APC
235,Contactor Kit,636.82,Power,false,CTK-ATS-HN10,Replacement contactor set for ATS panel,623.49,ATS-Panel-HN-10,Electrical Room - HN-10,30,Electrician,PRT-HN10-0235,Schneider Electric
236,Air Filter Kit,101.62,Cooling,true,FLT-PDX-HN10,Precision cooling filter pack,105.83,CRAC-Unit-HN-10,HVAC Plant - HN-10,259,HVAC Technician,PRT-HN10-0236,Vertiv
237,Generator Service Kit,175.81,Power,true,SVK-GEN-HN10,"Oil, air and fuel filter service kit",171.96,Generator-HN-10,Generator Yard - HN-10,261,Electrician,PRT-HN10-0237,Cummins
238,Camera Module,139.34,Security,false,CAM-KSK-HN10,Replacement facial recognition camera,139.34,Visitor-Kiosk-HN-10,Reception - HN-10,12,Security Officer,PRT-HN10-0238,ZKTeco
239,Mounting Bracket,57.17,Security,false,MBR-CAM-HN10,Outdoor mounting bracket,55.49,Loading-Bay-Camera-HN-10,Loading Bay - HN-10,29,Security Officer,PRT-HN10-0239,Hikvision
240,Radio Mount Kit,104.02,Network,false,MKT-IP20-HN10,Microwave radio mounting kit,102.56,Microwave-Radio-HN-10,Roof - HN-10,16,Field Technician,PRT-HN10-0240,Ceragon
241,LC Connector Pack,16.94,Cabling,true,LC-CONN-HN10,Single-mode LC connector pack,17.73,Fiber-Patch-Panel-HN-10,IDF Room 1 - HN-10,20,Cabling Technician,PRT-HN10-0241,Corning
242,Power Supply Module,358.86,Network,false,PSU-C93-HN10,Replacement switch power supply,356.2,Edge-Switch-HN-10,IDF Room 2 - HN-10,9,Network Engineer,PRT-HN10-0242,Cisco
243,RF Jumper Cable,89.95,Cellular,true,RFC-AIR-HN10,Low-loss RF jumper cable,94.41,5G-Antenna-HN-10,Telecom Mast - HN-10,136,Field Technician,PRT-HN10-0243,Ericsson
244,Timing Module,741.15,Cellular,false,TIM-BBU-HN10,Synchronization module for BBU,769.6,Baseband-Unit-HN-10,Base Station - HN-10,21,Field Technician,PRT-HN10-0244,Nokia
245,Surge Protector,63.76,Cellular,true,SPD-RRU-HN10,Outdoor RF surge protector,64.52,Radio-Unit-HN-10,Antenna Array - HN-10,368,Field Technician,PRT-HN10-0245,Ericsson
246,Antenna Kit,44.56,Facilities,false,ANT-IOT-HN10,LTE antenna kit for gateway,43.61,Sensor-Gateway-HN-10,Storage Room - HN-10,12,Facilities Supervisor,PRT-HN10-0246,Advantech
247,Controller SSD,270.38,Network,false,SSD-WLC-HN10,SSD for wireless controller,268.33,WiFi-Controller-HN-10,Office Floor 1 - HN-10,20,Network Engineer,PRT-HN10-0247,Cisco
248,PoE Injector,65.65,Network,false,POE-AP-HN10,802.3at PoE injector,67.19,Access-Point-HN-10,Office Floor 2 - HN-10,47,Network Engineer,PRT-HN10-0248,Aruba
249,GPU Accelerator,11976.5,Server,false,GPU-A100-HN10,NVIDIA A100 Tensor Core GPU,11881.6,AI-Analytics-Server-HN-10,Lab A - HN-10,10,AI Specialist,PRT-HN10-0249,NVIDIA
250,Capture SSD,535.9,Network,false,SSD-NMA-HN10,High-write SSD for packet capture,528.09,Monitoring-Appliance-HN-10,Workshop - HN-10,15,Network Engineer,PRT-HN10-0250,Fluke
251,SSD Module,423.2,Network,false,SSD-OBS-HCM11,Enterprise SSD for monitoring appliance,424.67,Monitoring-System-HCM-11,Infrastructure Site - HCM-11,23,Network Engineer,PRT-HCM11-0251,SolarWinds
252,Cisco Line Card,9086.61,Network,false,LC-ASR-HCM11,100G line card for ASR series router,9180.29,Core-Router-HCM-11,Network Operations Center (NOC) - HCM-11,5,Network Engineer,PRT-HCM11-0252,Cisco
253,RAID Drive,394.64,Security,false,DRV-VMS-HCM11,12TB surveillance-rated HDD,395.35,Security-VMS-Server-HCM-11,Security Operations Center (SOC) - HCM-11,22,Security Officer,PRT-HCM11-0253,Milestone
254,Server Memory Kit,630.64,Server,false,RAM-R750-HCM11,64GB DDR4 RDIMM memory kit,622.16,Virtualization-Host-HCM-11,Server Room A - HCM-11,1,System Administrator,PRT-HCM11-0254,Dell
255,NVMe SSD,1162.25,Server,false,SSD-AFF-HCM11,Enterprise NVMe SSD for storage array,1147.87,Storage-Array-HCM-11,Server Room B - HCM-11,12,Storage Administrator,PRT-HCM11-0255,NetApp
256,Juniper Transceiver,222.3,Network,false,SFP-EX-HCM11,10G SFP+ transceiver,218.27,Access-Switch-HCM-11,Network Closet - HCM-11,60,Network Engineer,PRT-HCM11-0256,Juniper
257,Access Card,11.26,Security,true,CARD-N2-HCM11,Proximity access card,11.51,Access-Control-Panel-HCM-11,Access Control Room - HCM-11,333,Security Officer,PRT-HCM11-0257,Paxton
258,Surveillance HDD,281.86,Security,false,HDD-NVR-HCM11,8TB surveillance hard drive,274.7,NVR-HCM-11,Video Surveillance Room - HCM-11,27,Security Officer,PRT-HCM11-0258,Hikvision
259,UPS Battery Module,434.96,Power,false,BATT-SRT-HCM11,Replacement battery cartridge,445.85,UPS-HCM-11,UPS Room - HCM-11,21,Electrician,PRT-HCM11-0259,APC
260,Contactor Kit,614.19,Power,false,CTK-ATS-HCM11,Replacement contactor set for ATS panel,607.15,ATS-Panel-HCM-11,Electrical Room - HCM-11,24,Electrician,PRT-HCM11-0260,Schneider Electric
261,Air Filter Kit,101.74,Cooling,true,FLT-PDX-HCM11,Precision cooling filter pack,100.16,CRAC-Unit-HCM-11,HVAC Plant - HCM-11,154,HVAC Technician,PRT-HCM11-0261,Vertiv
262,Generator Service Kit,191.78,Power,true,SVK-GEN-HCM11,"Oil, air and fuel filter service kit",200.92,Generator-HCM-11,Generator Yard - HCM-11,61,Electrician,PRT-HCM11-0262,Cummins
263,Camera Module,131.76,Security,false,CAM-KSK-HCM11,Replacement facial recognition camera,135.93,Visitor-Kiosk-HCM-11,Reception - HCM-11,9,Security Officer,PRT-HCM11-0263,ZKTeco
264,Mounting Bracket,58.45,Security,false,MBR-CAM-HCM11,Outdoor mounting bracket,60.51,Loading-Bay-Camera-HCM-11,Loading Bay - HCM-11,10,Security Officer,PRT-HCM11-0264,Hikvision
265,Radio Mount Kit,103.01,Network,false,MKT-IP20-HCM11,Microwave radio mounting kit,102.36,Microwave-Radio-HCM-11,Roof - HCM-11,17,Field Technician,PRT-HCM11-0265,Ceragon
266,LC Connector Pack,18.45,Cabling,true,LC-CONN-HCM11,Single-mode LC connector pack,18.23,Fiber-Patch-Panel-HCM-11,IDF Room 1 - HCM-11,360,Cabling Technician,PRT-HCM11-0266,Corning
267,Power Supply Module,335.59,Network,false,PSU-C93-HCM11,Replacement switch power supply,334.49,Edge-Switch-HCM-11,IDF Room 2 - HCM-11,27,Network Engineer,PRT-HCM11-0267,Cisco
268,RF Jumper Cable,86.7,Cellular,true,RFC-AIR-HCM11,Low-loss RF jumper cable,86.09,5G-Antenna-HCM-11,Telecom Mast - HCM-11,63,Field Technician,PRT-HCM11-0268,Ericsson
269,Timing Module,814.67,Cellular,false,TIM-BBU-HCM11,Synchronization module for BBU,799.78,Baseband-Unit-HCM-11,Base Station - HCM-11,5,Field Technician,PRT-HCM11-0269,Nokia
270,Surge Protector,69.78,Cellular,true,SPD-RRU-HCM11,Outdoor RF surge protector,69.24,Radio-Unit-HCM-11,Antenna Array - HCM-11,56,Field Technician,PRT-HCM11-0270,Ericsson
271,Antenna Kit,49.49,Facilities,false,ANT-IOT-HCM11,LTE antenna kit for gateway,49.64,Sensor-Gateway-HCM-11,Storage Room - HCM-11,26,Facilities Supervisor,PRT-HCM11-0271,Advantech
272,Controller SSD,279.67,Network,false,SSD-WLC-HCM11,SSD for wireless controller,283.28,WiFi-Controller-HCM-11,Office Floor 1 - HCM-11,8,Network Engineer,PRT-HCM11-0272,Cisco
273,PoE Injector,68.46,Network,false,POE-AP-HCM11,802.3at PoE injector,69.0,Access-Point-HCM-11,Office Floor 2 - HCM-11,12,Network Engineer,PRT-HCM11-0273,Aruba
274,GPU Accelerator,13170.5,Server,false,GPU-A100-HCM11,NVIDIA A100 Tensor Core GPU,13356.47,AI-Analytics-Server-HCM-11,Lab A - HCM-11,7,AI Specialist,PRT-HCM11-0274,NVIDIA
275,Capture SSD,480.88,Network,false,SSD-NMA-HCM11,High-write SSD for packet capture,494.65,Monitoring-Appliance-HCM-11,Workshop - HCM-11,23,Network Engineer,PRT-HCM11-0275,Fluke
276,SSD Module,440.3,Network,false,SSD-OBS-HCM12,Enterprise SSD for monitoring appliance,429.87,Monitoring-System-HCM-12,Infrastructure Site - HCM-12,3,Network Engineer,PRT-HCM12-0276,SolarWinds
277,Cisco Line Card,9110.32,Network,false,LC-ASR-HCM12,100G line card for ASR series router,9179.69,Core-Router-HCM-12,Network Operations Center (NOC) - HCM-12,50,Network Engineer,PRT-HCM12-0277,Cisco
