ID,Status,Name,Description,Area,Parent Asset,Location Name,Barcode,Category,Assigned To,Warranty Expiry Date,Additional Info,Serial Number,Teams names,Associated Parts,Vendor,Contractor
264,OPERATIONAL,Loading-Bay-Camera-HCM-11,Hikvision DS-2CD2686G2 Bullet Camera,South,,Loading Bay - HCM-11,CCTV-HCM11,Security,Security Officer,2027-04-06,High-resolution loading dock surveillance camera,CCTVHCM1195003,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
265,OPERATIONAL,Microwave-Radio-HCM-11,Ceragon IP-20C Microwave Radio,South,,Roof - HCM-11,MWR-HCM11,Network Equipment,Field Technician,2028-10-25,Roof-top point-to-point backhaul radio,MWRHCM1178337,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,
266,MAINTENANCE,Fiber-Patch-Panel-HCM-11,Corning EDGE Fiber Patch Panel,South,,IDF Room 1 - HCM-11,FPP-HCM11,Cabling,Cabling Technician,2030-07-21,Structured fiber distribution panel,FPPHCM1144513,Infrastructure,"LC Connectors, Adapter Packs",Corning,
267,OPERATIONAL,Edge-Switch-HCM-11,Cisco Catalyst 9300 Edge Switch,South,,IDF Room 2 - HCM-11,ESW-HCM11,Network Equipment,Network Engineer,2030-03-13,Edge switch for floor distribution,ESWHCM1157880,Network Operations,"Power Supplies, SFP Modules",Cisco,
268,OPERATIONAL,5G-Antenna-HCM-11,Ericsson AIR 6488 Massive MIMO Antenna,South,,Telecom Mast - HCM-11,ANT-HCM11,Cellular Equipment,Field Technician,2030-04-18,5G radio antenna system,ANTHCM1177720,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
269,OPERATIONAL,Baseband-Unit-HCM-11,Nokia AirScale Baseband Unit,South,,Base Station - HCM-11,BBU-HCM11,Cellular Equipment,Field Technician,2028-05-30,Baseband processing for radio access network,BBUHCM1177681,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
270,OPERATIONAL,Radio-Unit-HCM-11,Ericsson Radio 4422 Remote Radio Unit,South,Baseband-Unit-HCM-11,Antenna Array - HCM-11,RRU-HCM11,Cellular Equipment,Field Technician,2029-04-11,Remote radio head for sector coverage,RRUHCM1173813,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,
271,DOWN,Sensor-Gateway-HCM-11,Advantech WISE-6610 IoT Gateway,South,,Storage Room - HCM-11,IOT-HCM11,IoT,Facilities Supervisor,2029-09-14,Environmental and utility sensor concentrator,IOTHCM1110864,Facilities,"Antenna Kit, DIN Clips",Advantech,
272,DOWN,WiFi-Controller-HCM-11,Cisco Catalyst 9800-L Wireless Controller,South,,Office Floor 1 - HCM-11,WLC-HCM11,Network Equipment,Network Engineer,2029-10-24,Centralized wireless controller,WLCHCM1167658,Network Operations,"Power Supplies, SSDs",Cisco,
273,OPERATIONAL,Access-Point-HCM-11,Aruba AP-515 Wireless Access Point,South,WiFi-Controller-HCM-11,Office Floor 2 - HCM-11,AP-HCM11,Network Equipment,Network Engineer,2027-12-06,Wi-Fi 6 indoor wireless access point,APHCM1177441,Network Operations,"Mounting Kit, PoE Injector",Aruba,
274,OPERATIONAL,AI-Analytics-Server-HCM-11,NVIDIA DGX A100 AI Analytics Server,South,,Lab A - HCM-11,AIS-HCM11,Servers,AI Specialist,2030-08-10,Accelerated AI processing node,AISHCM1129692,AI Operations,"GPUs, NVLink Cables",NVIDIA,
275,OPERATIONAL,Monitoring-Appliance-HCM-11,Fluke OptiView XG Network Monitoring Appliance,South,,Workshop - HCM-11,NMA-HCM11,Network Equipment,Network Engineer,2028-01-18,Portable and fixed network diagnostics appliance,NMAHCM1125509,Network Operations,"SFP Modules, SSDs",Fluke,
276,OPERATIONAL,Monitoring-System-HCM-12,SolarWinds Hybrid Cloud Observability Appliance,South,,Infrastructure Site - HCM-12,MON-HCM12,Network Equipment,Network Engineer,2030-09-15,Central site monitoring appliance,MONHCM1253283,Network Operations,"Power Supplies, SSDs",SolarWinds,
277,OPERATIONAL,Core-Router-HCM-12,Cisco ASR 9904 Core Router,South,,Network Operations Center (NOC) - HCM-12,RTR-HCM12,Network Equipment,Network Engineer,2027-08-21,Core network routing platform,RTRHCM1272759,Network Operations,"Line Cards, Power Supplies",Cisco,
278,OPERATIONAL,Security-VMS-Server-HCM-12,Milestone Husky IVO 350R Video Management Server,South,,Security Operations Center (SOC) - HCM-12,VMS-HCM12,Security,Security Officer,2029-09-08,Video management and recording server,VMSHCM1231134,Security Operations,"RAID Drives, PSUs",Milestone,
279,MAINTENANCE,Virtualization-Host-HCM-12,Dell PowerEdge R750 Virtualization Host,South,,Server Room A - HCM-12,SRV-HCM12,Servers,System Administrator,2030-08-18,Virtualization compute cluster node,SRVHCM1212942,Server Operations,"RAM, NVMe Drives",Dell,HaNoi Cooling Services
280,OPERATIONAL,Storage-Array-HCM-12,NetApp AFF A250 Storage Array,South,,Server Room B - HCM-12,SAN-HCM12,Storage,Storage Administrator,2030-03-20,Shared storage array for critical workloads,SANHCM1227658,Server Operations,"SSDs, Controllers",NetApp,
281,OPERATIONAL,Access-Switch-HCM-12,Juniper EX4300 Access Switch,South,,Network Closet - HCM-12,SW-HCM12,Network Equipment,Network Engineer,2030-07-13,Access layer switch for wired users,SWHCM1285008,Network Operations,"Transceivers, Fans",Juniper,
282,OPERATIONAL,Access-Control-Panel-HCM-12,Paxton Net2 Plus Access Control Panel,South,,Access Control Room - HCM-12,ACP-HCM12,Security,Security Officer,2027-10-28,Door access control and credential management,ACPHCM1243850,Security Operations,"Power Supply, Readers",Paxton,
283,OPERATIONAL,NVR-HCM-12,Hikvision DS-9632NI-M8 Network Video Recorder,South,,Video Surveillance Room - HCM-12,NVR-HCM12,Security,Security Officer,2028-01-04,Central CCTV recording system,NVRHCM1263143,Security Operations,"Hard Drives, Fans",Hikvision,
284,STANDBY,UPS-HCM-12,APC Smart-UPS SRT 3000VA,South,,UPS Room - HCM-12,UPS-HCM12,Power,Electrician,2030-05-12,Online double-conversion UPS,UPSHCM1296736,Facilities,"Batteries, Fan Kits",APC,
285,COMMISSIONING,ATS-Panel-HCM-12,Schneider EasyPact Automatic Transfer Switch,South,,Electrical Room - HCM-12,ATS-HCM12,Power,Electrician,2028-08-03,Automatic mains/generator transfer switch,ATSHCM1289498,Facilities,"Breakers, Contact Kits",Schneider Electric,
286,OPERATIONAL,CRAC-Unit-HCM-12,Vertiv Liebert PDX Precision Cooling Unit,South,,HVAC Plant - HCM-12,CRAC-HCM12,Cooling,HVAC Technician,2029-09-13,Precision cooling for IT spaces,CRACHCM1263840,Facilities,"Filters, Compressor Kits",Vertiv,
287,OPERATIONAL,Generator-HCM-12,Cummins C275D5 Backup Generator,South,,Generator Yard - HCM-12,GEN-HCM12,Power,Electrician,2030-05-15,Standby diesel generator set,GENHCM1233839,Facilities,"Filters, Starter Batteries",Cummins,
288,OPERATIONAL,Visitor-Kiosk-HCM-12,ZKTeco SpeedFace-V5L Visitor Kiosk,South,,Reception - HCM-12,KSK-HCM12,Security,Security Officer,2030-06-30,Visitor registration and facial verification terminal,KSKHCM1244671,Security Operations,"Touch Panel, Camera Module",ZKTeco,
289,OPERATIONAL,Loading-Bay-Camera-HCM-12,Hikvision DS-2CD2686G2 Bullet Camera,South,,Loading Bay - HCM-12,CCTV-HCM12,Security,Security Officer,2027-12-10,High-resolution loading dock surveillance camera,CCTVHCM1254914,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
290,OPERATIONAL,Microwave-Radio-HCM-12,Ceragon IP-20C Microwave Radio,South,,Roof - HCM-12,MWR-HCM12,Network Equipment,Field Technician,2029-07-17,Roof-top point-to-point backhaul radio,MWRHCM1219023,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,
291,OPERATIONAL,Fiber-Patch-Panel-HCM-12,Corning EDGE Fiber Patch Panel,South,,IDF Room 1 - HCM-12,FPP-HCM12,Cabling,Cabling Technician,2028-04-15,Structured fiber distribution panel,FPPHCM1227329,Infrastructure,"LC Connectors, Adapter Packs",Corning,
292,OPERATIONAL,Edge-Switch-HCM-12,Cisco Catalyst 9300 Edge Switch,South,,IDF Room 2 - HCM-12,ESW-HCM12,Network Equipment,Network Engineer,2027-08-11,Edge switch for floor distribution,ESWHCM1276107,Network Operations,"Power Supplies, SFP Modules",Cisco,
293,OPERATIONAL,5G-Antenna-HCM-12,Ericsson AIR 6488 Massive MIMO Antenna,South,,Telecom Mast - HCM-12,ANT-HCM12,Cellular Equipment,Field Technician,2030-11-02,5G radio antenna system,ANTHCM1222622,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
294,OPERATIONAL,Baseband-Unit-HCM-12,Nokia AirScale Baseband Unit,South,,Base Station - HCM-12,BBU-HCM12,Cellular Equipment,Field Technician,2027-12-30,Baseband processing for radio access network,BBUHCM1215116,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
295,OPERATIONAL,Radio-Unit-HCM-12,Ericsson Radio 4422 Remote Radio Unit,South,Baseband-Unit-HCM-12,Antenna Array - HCM-12,RRU-HCM12,Cellular Equipment,Field Technician,2029-12-24,Remote radio head for sector coverage,RRUHCM1273208,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,
296,OPERATIONAL,Sensor-Gateway-HCM-12,Advantech WISE-6610 IoT Gateway,South,,Storage Room - HCM-12,IOT-HCM12,IoT,Facilities Supervisor,2030-09-12,Environmental and utility sensor concentrator,IOTHCM1289098,Facilities,"Antenna Kit, DIN Clips",Advantech,
297,MAINTENANCE,WiFi-Controller-HCM-12,Cisco Catalyst 9800-L Wireless Controller,South,,Office Floor 1 - HCM-12,WLC-HCM12,Network Equipment,Network Engineer,2030-01-09,Centralized wireless controller,WLCHCM1298940,Network Operations,"Power Supplies, SSDs",Cisco,
298,OPERATIONAL,Access-Point-HCM-12,Aruba AP-515 Wireless Access Point,South,WiFi-Controller-HCM-12,Office Floor 2 - HCM-12,AP-HCM12,Network Equipment,Network Engineer,2029-12-05,Wi-Fi 6 indoor wireless access point,APHCM1215693,Network Operations,"Mounting Kit, PoE Injector",Aruba,
299,OPERATIONAL,AI-Analytics-Server-HCM-12,NVIDIA DGX A100 AI Analytics Server,South,,Lab A - HCM-12,AIS-HCM12,Servers,AI Specialist,2030-11-29,Accelerated AI processing node,AISHCM1240079,AI Operations,"GPUs, NVLink Cables",NVIDIA,
300,MAINTENANCE,Monitoring-Appliance-HCM-12,Fluke OptiView XG Network Monitoring Appliance,South,Monitoring-System-HCM-12,Workshop - HCM-12,NMA-HCM12,Network Equipment,Network Engineer,2029-09-14,Portable and fixed network diagnostics appliance,NMAHCM1287207,Network Operations,"SFP Modules, SSDs",Fluke,
301,OPERATIONAL,Monitoring-System-DN-13,SolarWinds Hybrid Cloud Observability Appliance,Central,,Infrastructure Site - DN-13,MON-DN13,Network Equipment,Network Engineer,2030-11-27,Central site monitoring appliance,MONDN1365769,Network Operations,"Power Supplies, SSDs",SolarWinds,
302,OPERATIONAL,Core-Router-DN-13,Cisco ASR 9904 Core Router,Central,,Network Operations Center (NOC) - DN-13,RTR-DN13,Network Equipment,Network Engineer,2027-10-02,Core network routing platform,RTRDN1340475,Network Operations,"Line Cards, Power Supplies",Cisco,
303,OPERATIONAL,Security-VMS-Server-DN-13,Milestone Husky IVO 350R Video Management Server,Central,,Security Operations Center (SOC) - DN-13,VMS-DN13,Security,Security Officer,2027-06-21,Video management and recording server,VMSDN1381267,Security Operations,"RAID Drives, PSUs",Milestone,
304,OPERATIONAL,Virtualization-Host-DN-13,Dell PowerEdge R750 Virtualization Host,Central,,Server Room A - DN-13,SRV-DN13,Servers,System Administrator,2029-04-16,Virtualization compute cluster node,SRVDN1310716,Server Operations,"RAM, NVMe Drives",Dell,
305,OPERATIONAL,Storage-Array-DN-13,NetApp AFF A250 Storage Array,Central,,Server Room B - DN-13,SAN-DN13,Storage,Storage Administrator,2030-12-23,Shared storage array for critical workloads,SANDN1310932,Server Operations,"SSDs, Controllers",NetApp,
306,OPERATIONAL,Access-Switch-DN-13,Juniper EX4300 Access Switch,Central,,Network Closet - DN-13,SW-DN13,Network Equipment,Network Engineer,2030-03-29,Access layer switch for wired users,SWDN1378126,Network Operations,"Transceivers, Fans",Juniper,
307,OPERATIONAL,Access-Control-Panel-DN-13,Paxton Net2 Plus Access Control Panel,Central,,Access Control Room - DN-13,ACP-DN13,Security,Security Officer,2027-01-15,Door access control and credential management,ACPDN1336924,Security Operations,"Power Supply, Readers",Paxton,
308,MAINTENANCE,NVR-DN-13,Hikvision DS-9632NI-M8 Network Video Recorder,Central,,Video Surveillance Room - DN-13,NVR-DN13,Security,Security Officer,2030-11-09,Central CCTV recording system,NVRDN1363588,Security Operations,"Hard Drives, Fans",Hikvision,HaNoi Cooling Services
309,OPERATIONAL,UPS-DN-13,APC Smart-UPS SRT 3000VA,Central,,UPS Room - DN-13,UPS-DN13,Power,Electrician,2029-05-22,Online double-conversion UPS,UPSDN1380268,Facilities,"Batteries, Fan Kits",APC,
310,OPERATIONAL,ATS-Panel-DN-13,Schneider EasyPact Automatic Transfer Switch,Central,,Electrical Room - DN-13,ATS-DN13,Power,Electrician,2029-05-17,Automatic mains/generator transfer switch,ATSDN1399208,Facilities,"Breakers, Contact Kits",Schneider Electric,
311,OPERATIONAL,CRAC-Unit-DN-13,Vertiv Liebert PDX Precision Cooling Unit,Central,,HVAC Plant - DN-13,CRAC-DN13,Cooling,HVAC Technician,2029-03-24,Precision cooling for IT spaces,CRACDN1364162,Facilities,"Filters, Compressor Kits",Vertiv,
312,MAINTENANCE,Generator-DN-13,Cummins C275D5 Backup Generator,Central,,Generator Yard - DN-13,GEN-DN13,Power,Electrician,2030-02-04,Standby diesel generator set,GENDN1358524,Facilities,"Filters, Starter Batteries",Cummins,
313,OPERATIONAL,Visitor-Kiosk-DN-13,ZKTeco SpeedFace-V5L Visitor Kiosk,Central,,Reception - DN-13,KSK-DN13,Security,Security Officer,2029-09-17,Visitor registration and facial verification terminal,KSKDN1350193,Security Operations,"Touch Panel, Camera Module",ZKTeco,
314,OPERATIONAL,Loading-Bay-Camera-DN-13,Hikvision DS-2CD2686G2 Bullet Camera,Central,,Loading Bay - DN-13,CCTV-DN13,Security,Security Officer,2030-03-29,High-resolution loading dock surveillance camera,CCTVDN1362183,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
315,MAINTENANCE,Microwave-Radio-DN-13,Ceragon IP-20C Microwave Radio,Central,,Roof - DN-13,MWR-DN13,Network Equipment,Field Technician,2027-10-10,Roof-top point-to-point backhaul radio,MWRDN1396413,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,Alpha Secure Systems
316,MAINTENANCE,Fiber-Patch-Panel-DN-13,Corning EDGE Fiber Patch Panel,Central,,IDF Room 1 - DN-13,FPP-DN13,Cabling,Cabling Technician,2029-07-03,Structured fiber distribution panel,FPPDN1331206,Infrastructure,"LC Connectors, Adapter Packs",Corning,Mekong Telecom Services
317,MAINTENANCE,Edge-Switch-DN-13,Cisco Catalyst 9300 Edge Switch,Central,,IDF Room 2 - DN-13,ESW-DN13,Network Equipment,Network Engineer,2028-11-24,Edge switch for floor distribution,ESWDN1399727,Network Operations,"Power Supplies, SFP Modules",Cisco,
318,OPERATIONAL,5G-Antenna-DN-13,Ericsson AIR 6488 Massive MIMO Antenna,Central,,Telecom Mast - DN-13,ANT-DN13,Cellular Equipment,Field Technician,2027-11-26,5G radio antenna system,ANTDN1321939,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
319,OPERATIONAL,Baseband-Unit-DN-13,Nokia AirScale Baseband Unit,Central,,Base Station - DN-13,BBU-DN13,Cellular Equipment,Field Technician,2027-10-25,Baseband processing for radio access network,BBUDN1321552,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
320,OPERATIONAL,Radio-Unit-DN-13,Ericsson Radio 4422 Remote Radio Unit,Central,Baseband-Unit-DN-13,Antenna Array - DN-13,RRU-DN13,Cellular Equipment,Field Technician,2027-05-12,Remote radio head for sector coverage,RRUDN1389826,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,
321,OPERATIONAL,Sensor-Gateway-DN-13,Advantech WISE-6610 IoT Gateway,Central,,Storage Room - DN-13,IOT-DN13,IoT,Facilities Supervisor,2027-03-19,Environmental and utility sensor concentrator,IOTDN1362513,Facilities,"Antenna Kit, DIN Clips",Advantech,
322,OPERATIONAL,WiFi-Controller-DN-13,Cisco Catalyst 9800-L Wireless Controller,Central,,Office Floor 1 - DN-13,WLC-DN13,Network Equipment,Network Engineer,2030-06-11,Centralized wireless controller,WLCDN1347548,Network Operations,"Power Supplies, SSDs",Cisco,
323,STANDBY,Access-Point-DN-13,Aruba AP-515 Wireless Access Point,Central,WiFi-Controller-DN-13,Office Floor 2 - DN-13,AP-DN13,Network Equipment,Network Engineer,2030-12-28,Wi-Fi 6 indoor wireless access point,APDN1317531,Network Operations,"Mounting Kit, PoE Injector",Aruba,
324,OPERATIONAL,AI-Analytics-Server-DN-13,NVIDIA DGX A100 AI Analytics Server,Central,,Lab A - DN-13,AIS-DN13,Servers,AI Specialist,2027-12-25,Accelerated AI processing node,AISDN1367536,AI Operations,"GPUs, NVLink Cables",NVIDIA,
325,OPERATIONAL,Monitoring-Appliance-DN-13,Fluke OptiView XG Network Monitoring Appliance,Central,,Workshop - DN-13,NMA-DN13,Network Equipment,Network Engineer,2027-01-22,Portable and fixed network diagnostics appliance,NMADN1377915,Network Operations,"SFP Modules, SSDs",Fluke,
326,OPERATIONAL,Monitoring-System-HP-14,SolarWinds Hybrid Cloud Observability Appliance,North,,Infrastructure Site - HP-14,MON-HP14,Network Equipment,Network Engineer,2028-08-08,Central site monitoring appliance,MONHP1488579,Network Operations,"Power Supplies, SSDs",SolarWinds,
327,OPERATIONAL,Core-Router-HP-14,Cisco ASR 9904 Core Router,North,,Network Operations Center (NOC) - HP-14,RTR-HP14,Network Equipment,Network Engineer,2029-11-11,Core network routing platform,RTRHP1440365,Network Operations,"Line Cards, Power Supplies",Cisco,
328,OPERATIONAL,Security-VMS-Server-HP-14,Milestone Husky IVO 350R Video Management Server,North,,Security Operations Center (SOC) - HP-14,VMS-HP14,Security,Security Officer,2030-06-13,Video management and recording server,VMSHP1414726,Security Operations,"RAID Drives, PSUs",Milestone,
329,OPERATIONAL,Virtualization-Host-HP-14,Dell PowerEdge R750 Virtualization Host,North,,Server Room A - HP-14,SRV-HP14,Servers,System Administrator,2029-01-06,Virtualization compute cluster node,SRVHP1410037,Server Operations,"RAM, NVMe Drives",Dell,
330,OPERATIONAL,Storage-Array-HP-14,NetApp AFF A250 Storage Array,North,,Server Room B - HP-14,SAN-HP14,Storage,Storage Administrator,2027-11-19,Shared storage array for critical workloads,SANHP1446167,Server Operations,"SSDs, Controllers",NetApp,
331,OPERATIONAL,Access-Switch-HP-14,Juniper EX4300 Access Switch,North,,Network Closet - HP-14,SW-HP14,Network Equipment,Network Engineer,2029-03-29,Access layer switch for wired users,SWHP1461792,Network Operations,"Transceivers, Fans",Juniper,
332,OPERATIONAL,Access-Control-Panel-HP-14,Paxton Net2 Plus Access Control Panel,North,,Access Control Room - HP-14,ACP-HP14,Security,Security Officer,2029-04-10,Door access control and credential management,ACPHP1477861,Security Operations,"Power Supply, Readers",Paxton,
333,OPERATIONAL,NVR-HP-14,Hikvision DS-9632NI-M8 Network Video Recorder,North,,Video Surveillance Room - HP-14,NVR-HP14,Security,Security Officer,2027-02-01,Central CCTV recording system,NVRHP1418993,Security Operations,"Hard Drives, Fans",Hikvision,
334,OPERATIONAL,UPS-HP-14,APC Smart-UPS SRT 3000VA,North,,UPS Room - HP-14,UPS-HP14,Power,Electrician,2027-07-04,Online double-conversion UPS,UPSHP1483284,Facilities,"Batteries, Fan Kits",APC,
335,OPERATIONAL,ATS-Panel-HP-14,Schneider EasyPact Automatic Transfer Switch,North,,Electrical Room - HP-14,ATS-HP14,Power,Electrician,2030-04-08,Automatic mains/generator transfer switch,ATSHP1446242,Facilities,"Breakers, Contact Kits",Schneider Electric,
336,OPERATIONAL,CRAC-Unit-HP-14,Vertiv Liebert PDX Precision Cooling Unit,North,,HVAC Plant - HP-14,CRAC-HP14,Cooling,HVAC Technician,2028-04-08,Precision cooling for IT spaces,CRACHP1435496,Facilities,"Filters, Compressor Kits",Vertiv,
337,COMMISSIONING,Generator-HP-14,Cummins C275D5 Backup Generator,North,,Generator Yard - HP-14,GEN-HP14,Power,Electrician,2029-07-20,Standby diesel generator set,GENHP1444223,Facilities,"Filters, Starter Batteries",Cummins,SaiGon MEP Solutions
338,OPERATIONAL,Visitor-Kiosk-HP-14,ZKTeco SpeedFace-V5L Visitor Kiosk,North,,Reception - HP-14,KSK-HP14,Security,Security Officer,2030-02-18,Visitor registration and facial verification terminal,KSKHP1448568,Security Operations,"Touch Panel, Camera Module",ZKTeco,
339,COMMISSIONING,Loading-Bay-Camera-HP-14,Hikvision DS-2CD2686G2 Bullet Camera,North,,Loading Bay - HP-14,CCTV-HP14,Security,Security Officer,2028-11-27,High-resolution loading dock surveillance camera,CCTVHP1477277,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
340,MAINTENANCE,Microwave-Radio-HP-14,Ceragon IP-20C Microwave Radio,North,,Roof - HP-14,MWR-HP14,Network Equipment,Field Technician,2030-01-06,Roof-top point-to-point backhaul radio,MWRHP1485352,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,Danang Engineering Works
341,OPERATIONAL,Fiber-Patch-Panel-HP-14,Corning EDGE Fiber Patch Panel,North,,IDF Room 1 - HP-14,FPP-HP14,Cabling,Cabling Technician,2029-02-11,Structured fiber distribution panel,FPPHP1441886,Infrastructure,"LC Connectors, Adapter Packs",Corning,
342,STANDBY,Edge-Switch-HP-14,Cisco Catalyst 9300 Edge Switch,North,Core-Router-HP-14,IDF Room 2 - HP-14,ESW-HP14,Network Equipment,Network Engineer,2028-11-26,Edge switch for floor distribution,ESWHP1470387,Network Operations,"Power Supplies, SFP Modules",Cisco,
343,DOWN,5G-Antenna-HP-14,Ericsson AIR 6488 Massive MIMO Antenna,North,,Telecom Mast - HP-14,ANT-HP14,Cellular Equipment,Field Technician,2030-04-16,5G radio antenna system,ANTHP1443792,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
344,OPERATIONAL,Baseband-Unit-HP-14,Nokia AirScale Baseband Unit,North,,Base Station - HP-14,BBU-HP14,Cellular Equipment,Field Technician,2027-05-19,Baseband processing for radio access network,BBUHP1438885,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
345,OPERATIONAL,Radio-Unit-HP-14,Ericsson Radio 4422 Remote Radio Unit,North,Baseband-Unit-HP-14,Antenna Array - HP-14,RRU-HP14,Cellular Equipment,Field Technician,2030-10-18,Remote radio head for sector coverage,RRUHP1464057,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,
346,OPERATIONAL,Sensor-Gateway-HP-14,Advantech WISE-6610 IoT Gateway,North,,Storage Room - HP-14,IOT-HP14,IoT,Facilities Supervisor,2028-12-24,Environmental and utility sensor concentrator,IOTHP1411274,Facilities,"Antenna Kit, DIN Clips",Advantech,
347,MAINTENANCE,WiFi-Controller-HP-14,Cisco Catalyst 9800-L Wireless Controller,North,,Office Floor 1 - HP-14,WLC-HP14,Network Equipment,Network Engineer,2030-12-06,Centralized wireless controller,WLCHP1442539,Network Operations,"Power Supplies, SSDs",Cisco,Mekong Telecom Services
348,OPERATIONAL,Access-Point-HP-14,Aruba AP-515 Wireless Access Point,North,WiFi-Controller-HP-14,Office Floor 2 - HP-14,AP-HP14,Network Equipment,Network Engineer,2030-10-11,Wi-Fi 6 indoor wireless access point,APHP1454825,Network Operations,"Mounting Kit, PoE Injector",Aruba,
349,OPERATIONAL,AI-Analytics-Server-HP-14,NVIDIA DGX A100 AI Analytics Server,North,,Lab A - HP-14,AIS-HP14,Servers,AI Specialist,2027-06-05,Accelerated AI processing node,AISHP1433394,AI Operations,"GPUs, NVLink Cables",NVIDIA,
350,OPERATIONAL,Monitoring-Appliance-HP-14,Fluke OptiView XG Network Monitoring Appliance,North,Monitoring-System-HP-14,Workshop - HP-14,NMA-HP14,Network Equipment,Network Engineer,2029-09-02,Portable and fixed network diagnostics appliance,NMAHP1485197,Network Operations,"SFP Modules, SSDs",Fluke,
351,OPERATIONAL,Monitoring-System-CT-15,SolarWinds Hybrid Cloud Observability Appliance,South,,Infrastructure Site - CT-15,MON-CT15,Network Equipment,Network Engineer,2028-07-05,Central site monitoring appliance,MONCT1599536,Network Operations,"Power Supplies, SSDs",SolarWinds,
352,OPERATIONAL,Core-Router-CT-15,Cisco ASR 9904 Core Router,South,,Network Operations Center (NOC) - CT-15,RTR-CT15,Network Equipment,Network Engineer,2028-01-25,Core network routing platform,RTRCT1536170,Network Operations,"Line Cards, Power Supplies",Cisco,
353,OPERATIONAL,Security-VMS-Server-CT-15,Milestone Husky IVO 350R Video Management Server,South,,Security Operations Center (SOC) - CT-15,VMS-CT15,Security,Security Officer,2028-04-25,Video management and recording server,VMSCT1544787,Security Operations,"RAID Drives, PSUs",Milestone,
354,OPERATIONAL,Virtualization-Host-CT-15,Dell PowerEdge R750 Virtualization Host,South,,Server Room A - CT-15,SRV-CT15,Servers,System Administrator,2028-02-28,Virtualization compute cluster node,SRVCT1542728,Server Operations,"RAM, NVMe Drives",Dell,
355,OPERATIONAL,Storage-Array-CT-15,NetApp AFF A250 Storage Array,South,,Server Room B - CT-15,SAN-CT15,Storage,Storage Administrator,2030-06-20,Shared storage array for critical workloads,SANCT1523983,Server Operations,"SSDs, Controllers",NetApp,
356,COMMISSIONING,Access-Switch-CT-15,Juniper EX4300 Access Switch,South,,Network Closet - CT-15,SW-CT15,Network Equipment,Network Engineer,2027-09-03,Access layer switch for wired users,SWCT1598580,Network Operations,"Transceivers, Fans",Juniper,
357,OPERATIONAL,Access-Control-Panel-CT-15,Paxton Net2 Plus Access Control Panel,South,,Access Control Room - CT-15,ACP-CT15,Security,Security Officer,2029-10-05,Door access control and credential management,ACPCT1580972,Security Operations,"Power Supply, Readers",Paxton,
358,MAINTENANCE,NVR-CT-15,Hikvision DS-9632NI-M8 Network Video Recorder,South,,Video Surveillance Room - CT-15,NVR-CT15,Security,Security Officer,2027-03-28,Central CCTV recording system,NVRCT1558653,Security Operations,"Hard Drives, Fans",Hikvision,
359,DOWN,UPS-CT-15,APC Smart-UPS SRT 3000VA,South,,UPS Room - CT-15,UPS-CT15,Power,Electrician,2029-10-05,Online double-conversion UPS,UPSCT1585303,Facilities,"Batteries, Fan Kits",APC,
360,OPERATIONAL,ATS-Panel-CT-15,Schneider EasyPact Automatic Transfer Switch,South,,Electrical Room - CT-15,ATS-CT15,Power,Electrician,2028-07-16,Automatic mains/generator transfer switch,ATSCT1576995,Facilities,"Breakers, Contact Kits",Schneider Electric,
361,OPERATIONAL,CRAC-Unit-CT-15,Vertiv Liebert PDX Precision Cooling Unit,South,,HVAC Plant - CT-15,CRAC-CT15,Cooling,HVAC Technician,2028-07-27,Precision cooling for IT spaces,CRACCT1585584,Facilities,"Filters, Compressor Kits",Vertiv,
362,OPERATIONAL,Generator-CT-15,Cummins C275D5 Backup Generator,South,,Generator Yard - CT-15,GEN-CT15,Power,Electrician,2027-09-20,Standby diesel generator set,GENCT1572694,Facilities,"Filters, Starter Batteries",Cummins,
363,OPERATIONAL,Visitor-Kiosk-CT-15,ZKTeco SpeedFace-V5L Visitor Kiosk,South,,Reception - CT-15,KSK-CT15,Security,Security Officer,2030-01-12,Visitor registration and facial verification terminal,KSKCT1555519,Security Operations,"Touch Panel, Camera Module",ZKTeco,
