name,unit,update_frequency,meter_category_id,image_file_id,demo,location_id,asset_id
Cooling Supply Air Temperature - HN-18,Celsius,10,,,FALSE,436,436
Generator Fuel Level - HN-18,%,30,,,FALSE,437,437
Visitor Kiosk Uptime - HN-18,Hours,15,,,FALSE,438,438
Camera Uptime - HN-18,Hours,10,,,FALSE,439,439
Backhaul Signal Strength - HN-18,dBm,2,,,FALSE,440,440
Optical Link Loss - HN-18,dB,15,,,FALSE,441,441
Edge Switch Utilization - HN-18,%,3,,,FALSE,442,442
5G Sector Throughput - HN-18,Mbps,2,,,FALSE,443,443
Baseband CPU Load - HN-18,%,2,,,FALSE,444,444
RRU VSWR - HN-18,ratio,5,,,FALSE,445,445
Gateway Packet Count - HN-18,Packets/min,10,,,FALSE,446,446
Wireless Client Count - HN-18,Clients,5,,,FALSE,447,447
AP Channel Utilization - HN-18,%,5,,,FALSE,448,448
GPU Usage - HN-18,%,1,,,FALSE,449,449
Packet Capture Buffer Usage - HN-18,%,10,,,FALSE,450,450
Monitoring Appliance CPU Usage - HCM-19,%,5,,,FALSE,451,451
Router CPU Usage - HCM-19,%,3,,,FALSE,452,452
VMS Storage Utilization - HCM-19,%,10,,,FALSE,453,453
Server Temperature - HCM-19,Celsius,7,,,FALSE,454,454
Storage Latency - HCM-19,ms,5,,,FALSE,455,455
Switch Port Error Rate - HCM-19,Errors/sec,2,,,FALSE,456,456
Access Control Events - HCM-19,Events/day,2,,,FALSE,457,457
Video Recorder Disk Health - HCM-19,%,15,,,FALSE,458,458
UPS Battery Charge - HCM-19,%,5,,,FALSE,459,459
ATS Transfer Count - HCM-19,Transfers/month,30,,,FALSE,460,460
Cooling Supply Air Temperature - HCM-19,Celsius,10,,,FALSE,461,461
Generator Fuel Level - HCM-19,%,30,,,FALSE,462,462
Visitor Kiosk Uptime - HCM-19,Hours,15,,,FALSE,463,463
Camera Uptime - HCM-19,Hours,10,,,FALSE,464,464
Backhaul Signal Strength - HCM-19,dBm,2,,,FALSE,465,465
Optical Link Loss - HCM-19,dB,15,,,FALSE,466,466
Edge Switch Utilization - HCM-19,%,3,,,FALSE,467,467
5G Sector Throughput - HCM-19,Mbps,2,,,FALSE,468,468
Baseband CPU Load - HCM-19,%,2,,,FALSE,469,469
RRU VSWR - HCM-19,ratio,5,,,FALSE,470,470
Gateway Packet Count - HCM-19,Packets/min,10,,,FALSE,471,471
Wireless Client Count - HCM-19,Clients,5,,,FALSE,472,472
AP Channel Utilization - HCM-19,%,5,,,FALSE,473,473
GPU Usage - HCM-19,%,1,,,FALSE,474,474
Packet Capture Buffer Usage - HCM-19,%,10,,,FALSE,475,475
Monitoring Appliance CPU Usage - HCM-20,%,5,,,FALSE,476,476
Router CPU Usage - HCM-20,%,3,,,FALSE,477,477
VMS Storage Utilization - HCM-20,%,10,,,FALSE,478,478
Server Temperature - HCM-20,Celsius,7,,,FALSE,479,479
Storage Latency - HCM-20,ms,5,,,FALSE,480,480
Switch Port Error Rate - HCM-20,Errors/sec,2,,,FALSE,481,481
Access Control Events - HCM-20,Events/day,2,,,FALSE,482,482
Video Recorder Disk Health - HCM-20,%,15,,,FALSE,483,483
UPS Battery Charge - HCM-20,%,5,,,FALSE,484,484
ATS Transfer Count - HCM-20,Transfers/month,30,,,FALSE,485,485
Cooling Supply Air Temperature - HCM-20,Celsius,10,,,FALSE,486,486
Generator Fuel Level - HCM-20,%,30,,,FALSE,487,487
Visitor Kiosk Uptime - HCM-20,Hours,15,,,FALSE,488,488
Camera Uptime - HCM-20,Hours,10,,,FALSE,489,489
Backhaul Signal Strength - HCM-20,dBm,2,,,FALSE,490,490
Optical Link Loss - HCM-20,dB,15,,,FALSE,491,491
Edge Switch Utilization - HCM-20,%,3,,,FALSE,492,492
5G Sector Throughput - HCM-20,Mbps,2,,,FALSE,493,493
Baseband CPU Load - HCM-20,%,2,,,FALSE,494,494
RRU VSWR - HCM-20,ratio,5,,,FALSE,495,495
Gateway Packet Count - HCM-20,Packets/min,10,,,FALSE,496,496
Wireless Client Count - HCM-20,Clients,5,,,FALSE,497,497
AP Channel Utilization - HCM-20,%,5,,,FALSE,498,498
GPU Usage - HCM-20,%,1,,,FALSE,499,499
Packet Capture Buffer Usage - HCM-20,%,10,,,FALSE,500,500
Monitoring Appliance CPU Usage - DN-21,%,5,,,FALSE,501,501
Router CPU Usage - DN-21,%,3,,,FALSE,502,502
VMS Storage Utilization - DN-21,%,10,,,FALSE,503,503
Server Temperature - DN-21,Celsius,7,,,FALSE,504,504
Storage Latency - DN-21,ms,5,,,FALSE,505,505
Switch Port Error Rate - DN-21,Errors/sec,2,,,FALSE,506,506
Access Control Events - DN-21,Events/day,2,,,FALSE,507,507
Video Recorder Disk Health - DN-21,%,15,,,FALSE,508,508
UPS Battery Charge - DN-21,%,5,,,FALSE,509,509
ATS Transfer Count - DN-21,Transfers/month,30,,,FALSE,510,510
Cooling Supply Air Temperature - DN-21,Celsius,10,,,FALSE,511,511
Generator Fuel Level - DN-21,%,30,,,FALSE,512,512
Visitor Kiosk Uptime - DN-21,Hours,15,,,FALSE,513,513
Camera Uptime - DN-21,Hours,10,,,FALSE,514,514
Backhaul Signal Strength - DN-21,dBm,2,,,FALSE,515,515
Optical Link Loss - DN-21,dB,15,,,FALSE,516,516
Edge Switch Utilization - DN-21,%,3,,,FALSE,517,517
5G Sector Throughput - DN-21,Mbps,2,,,FALSE,518,518
Baseband CPU Load - DN-21,%,2,,,FALSE,519,519
RRU VSWR - DN-21,ratio,5,,,FALSE,520,520
Gateway Packet Count - DN-21,Packets/min,10,,,FALSE,521,521
Wireless Client Count - DN-21,Clients,5,,,FALSE,522,522
AP Channel Utilization - DN-21,%,5,,,FALSE,523,523
GPU Usage - DN-21,%,1,,,FALSE,524,524
Packet Capture Buffer Usage - DN-21,%,10,,,FALSE,525,525
Monitoring Appliance CPU Usage - HP-22,%,5,,,FALSE,526,526
Router CPU Usage - HP-22,%,3,,,FALSE,527,527
VMS Storage Utilization - HP-22,%,10,,,FALSE,528,528
Server Temperature - HP-22,Celsius,7,,,FALSE,529,529
Storage Latency - HP-22,ms,5,,,FALSE,530,530
Switch Port Error Rate - HP-22,Errors/sec,2,,,FALSE,531,531
Access Control Events - HP-22,Events/day,2,,,FALSE,532,532
Video Recorder Disk Health - HP-22,%,15,,,FALSE,533,533
UPS Battery Charge - HP-22,%,5,,,FALSE,534,534
ATS Transfer Count - HP-22,Transfers/month,30,,,FALSE,535,535
Cooling Supply Air Temperature - HP-22,Celsius,10,,,FALSE,536,536
Generator Fuel Level - HP-22,%,30,,,FALSE,537,537
Visitor Kiosk Uptime - HP-22,Hours,15,,,FALSE,538,538
Camera Uptime - HP-22,Hours,10,,,FALSE,539,539
Backhaul Signal Strength - HP-22,dBm,2,,,FALSE,540,540
Optical Link Loss - HP-22,dB,15,,,FALSE,541,541
Edge Switch Utilization - HP-22,%,3,,,FALSE,542,542
5G Sector Throughput - HP-22,Mbps,2,,,FALSE,543,543
Baseband CPU Load - HP-22,%,2,,,FALSE,544,544
RRU VSWR - HP-22,ratio,5,,,FALSE,545,545
Gateway Packet Count - HP-22,Packets/min,10,,,FALSE,546,546
Wireless Client Count - HP-22,Clients,5,,,FALSE,547,547
AP Channel Utilization - HP-22,%,5,,,FALSE,548,548
GPU Usage - HP-22,%,1,,,FALSE,549,549
Packet Capture Buffer Usage - HP-22,%,10,,,FALSE,550,550
Monitoring Appliance CPU Usage - CT-23,%,5,,,FALSE,551,551
Router CPU Usage - CT-23,%,3,,,FALSE,552,552
VMS Storage Utilization - CT-23,%,10,,,FALSE,553,553
Server Temperature - CT-23,Celsius,7,,,FALSE,554,554
Storage Latency - CT-23,ms,5,,,FALSE,555,555
Switch Port Error Rate - CT-23,Errors/sec,2,,,FALSE,556,556
Access Control Events - CT-23,Events/day,2,,,FALSE,557,557
Video Recorder Disk Health - CT-23,%,15,,,FALSE,558,558
UPS Battery Charge - CT-23,%,5,,,FALSE,559,559
ATS Transfer Count - CT-23,Transfers/month,30,,,FALSE,560,560
Cooling Supply Air Temperature - CT-23,Celsius,10,,,FALSE,561,561
Generator Fuel Level - CT-23,%,30,,,FALSE,562,562
Visitor Kiosk Uptime - CT-23,Hours,15,,,FALSE,563,563
Camera Uptime - CT-23,Hours,10,,,FALSE,564,564
Backhaul Signal Strength - CT-23,dBm,2,,,FALSE,565,565
Optical Link Loss - CT-23,dB,15,,,FALSE,566,566
Edge Switch Utilization - CT-23,%,3,,,FALSE,567,567
5G Sector Throughput - CT-23,Mbps,2,,,FALSE,568,568
Baseband CPU Load - CT-23,%,2,,,FALSE,569,569
RRU VSWR - CT-23,ratio,5,,,FALSE,570,570
Gateway Packet Count - CT-23,Packets/min,10,,,FALSE,571,571
Wireless Client Count - CT-23,Clients,5,,,FALSE,572,572
AP Channel Utilization - CT-23,%,5,,,FALSE,573,573
GPU Usage - CT-23,%,1,,,FALSE,574,574
Packet Capture Buffer Usage - CT-23,%,10,,,FALSE,575,575
Monitoring Appliance CPU Usage - BD-24,%,5,,,FALSE,576,576
Router CPU Usage - BD-24,%,3,,,FALSE,577,577
VMS Storage Utilization - BD-24,%,10,,,FALSE,578,578
Server Temperature - BD-24,Celsius,7,,,FALSE,579,579
Storage Latency - BD-24,ms,5,,,FALSE,580,580
Switch Port Error Rate - BD-24,Errors/sec,2,,,FALSE,581,581
Access Control Events - BD-24,Events/day,2,,,FALSE,582,582
Video Recorder Disk Health - BD-24,%,15,,,FALSE,583,583
UPS Battery Charge - BD-24,%,5,,,FALSE,584,584
ATS Transfer Count - BD-24,Transfers/month,30,,,FALSE,585,585
Cooling Supply Air Temperature - BD-24,Celsius,10,,,FALSE,586,586
Generator Fuel Level - BD-24,%,30,,,FALSE,587,587
Visitor Kiosk Uptime - BD-24,Hours,15,,,FALSE,588,588
Camera Uptime - BD-24,Hours,10,,,FALSE,589,589
Backhaul Signal Strength - BD-24,dBm,2,,,FALSE,590,590
Optical Link Loss - BD-24,dB,15,,,FALSE,591,591
Edge Switch Utilization - BD-24,%,3,,,FALSE,592,592
5G Sector Throughput - BD-24,Mbps,2,,,FALSE,593,593
Baseband CPU Load - BD-24,%,2,,,FALSE,594,594
RRU VSWR - BD-24,ratio,5,,,FALSE,595,595
Gateway Packet Count - BD-24,Packets/min,10,,,FALSE,596,596
Wireless Client Count - BD-24,Clients,5,,,FALSE,597,597
AP Channel Utilization - BD-24,%,5,,,FALSE,598,598
GPU Usage - BD-24,%,1,,,FALSE,599,599
Packet Capture Buffer Usage - BD-24,%,10,,,FALSE,600,600
Monitoring Appliance CPU Usage - HN-25,%,5,,,FALSE,601,601
Router CPU Usage - HN-25,%,3,,,FALSE,602,602
VMS Storage Utilization - HN-25,%,10,,,FALSE,603,603
Server Temperature - HN-25,Celsius,7,,,FALSE,604,604
Storage Latency - HN-25,ms,5,,,FALSE,605,605
Switch Port Error Rate - HN-25,Errors/sec,2,,,FALSE,606,606
Access Control Events - HN-25,Events/day,2,,,FALSE,607,607
Video Recorder Disk Health - HN-25,%,15,,,FALSE,608,608
UPS Battery Charge - HN-25,%,5,,,FALSE,609,609
ATS Transfer Count - HN-25,Transfers/month,30,,,FALSE,610,610
Cooling Supply Air Temperature - HN-25,Celsius,10,,,FALSE,611,611
Generator Fuel Level - HN-25,%,30,,,FALSE,612,612
Visitor Kiosk Uptime - HN-25,Hours,15,,,FALSE,613,613
Camera Uptime - HN-25,Hours,10,,,FALSE,614,614
Backhaul Signal Strength - HN-25,dBm,2,,,FALSE,615,615
Optical Link Loss - HN-25,dB,15,,,FALSE,616,616
Edge Switch Utilization - HN-25,%,3,,,FALSE,617,617
5G Sector Throughput - HN-25,Mbps,2,,,FALSE,618,618
Baseband CPU Load - HN-25,%,2,,,FALSE,619,619
RRU VSWR - HN-25,ratio,5,,,FALSE,620,620
Gateway Packet Count - HN-25,Packets/min,10,,,FALSE,621,621
Wireless Client Count - HN-25,Clients,5,,,FALSE,622,622
AP Channel Utilization - HN-25,%,5,,,FALSE,623,623
GPU Usage - HN-25,%,1,,,FALSE,624,624
Packet Capture Buffer Usage - HN-25,%,10,,,FALSE,625,625
Monitoring Appliance CPU Usage - HN-26,%,5,,,FALSE,626,626
Router CPU Usage - HN-26,%,3,,,FALSE,627,627
VMS Storage Utilization - HN-26,%,10,,,FALSE,628,628
Server Temperature - HN-26,Celsius,7,,,FALSE,629,629
Storage Latency - HN-26,ms,5,,,FALSE,630,630
Switch Port Error Rate - HN-26,Errors/sec,2,,,FALSE,631,631
Access Control Events - HN-26,Events/day,2,,,FALSE,632,632
Video Recorder Disk Health - HN-26,%,15,,,FALSE,633,633
UPS Battery Charge - HN-26,%,5,,,FALSE,634,634
ATS Transfer Count - HN-26,Transfers/month,30,,,FALSE,635,635
Cooling Supply Air Temperature - HN-26,Celsius,10,,,FALSE,636,636
Generator Fuel Level - HN-26,%,30,,,FALSE,637,637
Visitor Kiosk Uptime - HN-26,Hours,15,,,FALSE,638,638
Camera Uptime - HN-26,Hours,10,,,FALSE,639,639
Backhaul Signal Strength - HN-26,dBm,2,,,FALSE,640,640
Optical Link Loss - HN-26,dB,15,,,FALSE,641,641
Edge Switch Utilization - HN-26,%,3,,,FALSE,642,642
5G Sector Throughput - HN-26,Mbps,2,,,FALSE,643,643
Baseband CPU Load - HN-26,%,2,,,FALSE,644,644
RRU VSWR - HN-26,ratio,5,,,FALSE,645,645
Gateway Packet Count - HN-26,Packets/min,10,,,FALSE,646,646
Wireless Client Count - HN-26,Clients,5,,,FALSE,647,647
AP Channel Utilization - HN-26,%,5,,,FALSE,648,648
GPU Usage - HN-26,%,1,,,FALSE,649,649
Packet Capture Buffer Usage - HN-26,%,10,,,FALSE,650,650
Monitoring Appliance CPU Usage - HCM-27,%,5,,,FALSE,651,651
Router CPU Usage - HCM-27,%,3,,,FALSE,652,652
VMS Storage Utilization - HCM-27,%,10,,,FALSE,653,653
Server Temperature - HCM-27,Celsius,7,,,FALSE,654,654
Storage Latency - HCM-27,ms,5,,,FALSE,655,655
Switch Port Error Rate - HCM-27,Errors/sec,2,,,FALSE,656,656
Access Control Events - HCM-27,Events/day,2,,,FALSE,657,657
Video Recorder Disk Health - HCM-27,%,15,,,FALSE,658,658
UPS Battery Charge - HCM-27,%,5,,,FALSE,659,659
ATS Transfer Count - HCM-27,Transfers/month,30,,,FALSE,660,660
Cooling Supply Air Temperature - HCM-27,Celsius,10,,,FALSE,661,661
Generator Fuel Level - HCM-27,%,30,,,FALSE,662,662
Visitor Kiosk Uptime - HCM-27,Hours,15,,,FALSE,663,663
Camera Uptime - HCM-27,Hours,10,,,FALSE,664,664
Backhaul Signal Strength - HCM-27,dBm,2,,,FALSE,665,665
Optical Link Loss - HCM-27,dB,15,,,FALSE,666,666
Edge Switch Utilization - HCM-27,%,3,,,FALSE,667,667
5G Sector Throughput - HCM-27,Mbps,2,,,FALSE,668,668
Baseband CPU Load - HCM-27,%,2,,,FALSE,669,669
RRU VSWR - HCM-27,ratio,5,,,FALSE,670,670
Gateway Packet Count - HCM-27,Packets/min,10,,,FALSE,671,671
Wireless Client Count - HCM-27,Clients,5,,,FALSE,672,672
AP Channel Utilization - HCM-27,%,5,,,FALSE,673,673
GPU Usage - HCM-27,%,1,,,FALSE,674,674
Packet Capture Buffer Usage - HCM-27,%,10,,,FALSE,675,675
Monitoring Appliance CPU Usage - HCM-28,%,5,,,FALSE,676,676
Router CPU Usage - HCM-28,%,3,,,FALSE,677,677
VMS Storage Utilization - HCM-28,%,10,,,FALSE,678,678
Server Temperature - HCM-28,Celsius,7,,,FALSE,679,679
Storage Latency - HCM-28,ms,5,,,FALSE,680,680
Switch Port Error Rate - HCM-28,Errors/sec,2,,,FALSE,681,681
Access Control Events - HCM-28,Events/day,2,,,FALSE,682,682
Video Recorder Disk Health - HCM-28,%,15,,,FALSE,683,683
UPS Battery Charge - HCM-28,%,5,,,FALSE,684,684
ATS Transfer Count - HCM-28,Transfers/month,30,,,FALSE,685,685
Cooling Supply Air Temperature - HCM-28,Celsius,10,,,FALSE,686,686
Generator Fuel Level - HCM-28,%,30,,,FALSE,687,687
Visitor Kiosk Uptime - HCM-28,Hours,15,,,FALSE,688,688
Camera Uptime - HCM-28,Hours,10,,,FALSE,689,689
Backhaul Signal Strength - HCM-28,dBm,2,,,FALSE,690,690
Optical Link Loss - HCM-28,dB,15,,,FALSE,691,691
Edge Switch Utilization - HCM-28,%,3,,,FALSE,692,692
5G Sector Throughput - HCM-28,Mbps,2,,,FALSE,693,693
Baseband CPU Load - HCM-28,%,2,,,FALSE,694,694
RRU VSWR - HCM-28,ratio,5,,,FALSE,695,695
Gateway Packet Count - HCM-28,Packets/min,10,,,FALSE,696,696
Wireless Client Count - HCM-28,Clients,5,,,FALSE,697,697
AP Channel Utilization - HCM-28,%,5,,,FALSE,698,698
GPU Usage - HCM-28,%,1,,,FALSE,699,699
Packet Capture Buffer Usage - HCM-28,%,10,,,FALSE,700,700
Monitoring Appliance CPU Usage - DN-29,%,5,,,FALSE,701,701
Router CPU Usage - DN-29,%,3,,,FALSE,702,702
VMS Storage Utilization - DN-29,%,10,,,FALSE,703,703
Server Temperature - DN-29,Celsius,7,,,FALSE,704,704
Storage Latency - DN-29,ms,5,,,FALSE,705,705
Switch Port Error Rate - DN-29,Errors/sec,2,,,FALSE,706,706
Access Control Events - DN-29,Events/day,2,,,FALSE,707,707
Video Recorder Disk Health - DN-29,%,15,,,FALSE,708,708
UPS Battery Charge - DN-29,%,5,,,FALSE,709,709
ATS Transfer Count - DN-29,Transfers/month,30,,,FALSE,710,710
Cooling Supply Air Temperature - DN-29,Celsius,10,,,FALSE,711,711
Generator Fuel Level - DN-29,%,30,,,FALSE,712,712
Visitor Kiosk Uptime - DN-29,Hours,15,,,FALSE,713,713
Camera Uptime - DN-29,Hours,10,,,FALSE,714,714
Backhaul Signal Strength - DN-29,dBm,2,,,FALSE,715,715
Optical Link Loss - DN-29,dB,15,,,FALSE,716,716
Edge Switch Utilization - DN-29,%,3,,,FALSE,717,717
5G Sector Throughput - DN-29,Mbps,2,,,FALSE,718,718
Baseband CPU Load - DN-29,%,2,,,FALSE,719,719
RRU VSWR - DN-29,ratio,5,,,FALSE,720,720
Gateway Packet Count - DN-29,Packets/min,10,,,FALSE,721,721
Wireless Client Count - DN-29,Clients,5,,,FALSE,722,722
AP Channel Utilization - DN-29,%,5,,,FALSE,723,723
GPU Usage - DN-29,%,1,,,FALSE,724,724
Packet Capture Buffer Usage - DN-29,%,10,,,FALSE,725,725
Monitoring Appliance CPU Usage - HP-30,%,5,,,FALSE,726,726
Router CPU Usage - HP-30,%,3,,,FALSE,727,727
VMS Storage Utilization - HP-30,%,10,,,FALSE,728,728
Server Temperature - HP-30,Celsius,7,,,FALSE,729,729
Storage Latency - HP-30,ms,5,,,FALSE,730,730
Switch Port Error Rate - HP-30,Errors/sec,2,,,FALSE,731,731
Access Control Events - HP-30,Events/day,2,,,FALSE,732,732
Video Recorder Disk Health - HP-30,%,15,,,FALSE,733,733
UPS Battery Charge - HP-30,%,5,,,FALSE,734,734
ATS Transfer Count - HP-30,Transfers/month,30,,,FALSE,735,735
Cooling Supply Air Temperature - HP-30,Celsius,10,,,FALSE,736,736
Generator Fuel Level - HP-30,%,30,,,FALSE,737,737
Visitor Kiosk Uptime - HP-30,Hours,15,,,FALSE,738,738
Camera Uptime - HP-30,Hours,10,,,FALSE,739,739
Backhaul Signal Strength - HP-30,dBm,2,,,FALSE,740,740
Optical Link Loss - HP-30,dB,15,,,FALSE,741,741
Edge Switch Utilization - HP-30,%,3,,,FALSE,742,742
5G Sector Throughput - HP-30,Mbps,2,,,FALSE,743,743
Baseband CPU Load - HP-30,%,2,,,FALSE,744,744
RRU VSWR - HP-30,ratio,5,,,FALSE,745,745
Gateway Packet Count - HP-30,Packets/min,10,,,FALSE,746,746
Wireless Client Count - HP-30,Clients,5,,,FALSE,747,747
AP Channel Utilization - HP-30,%,5,,,FALSE,748,748
GPU Usage - HP-30,%,1,,,FALSE,749,749
Packet Capture Buffer Usage - HP-30,%,10,,,FALSE,750,750
Monitoring Appliance CPU Usage - CT-31,%,5,,,FALSE,751,751
Router CPU Usage - CT-31,%,3,,,FALSE,752,752
VMS Storage Utilization - CT-31,%,10,,,FALSE,753,753
Server Temperature - CT-31,Celsius,7,,,FALSE,754,754
Storage Latency - CT-31,ms,5,,,FALSE,755,755
Switch Port Error Rate - CT-31,Errors/sec,2,,,FALSE,756,756
Access Control Events - CT-31,Events/day,2,,,FALSE,757,757
Video Recorder Disk Health - CT-31,%,15,,,FALSE,758,758
UPS Battery Charge - CT-31,%,5,,,FALSE,759,759
ATS Transfer Count - CT-31,Transfers/month,30,,,FALSE,760,760
Cooling Supply Air Temperature - CT-31,Celsius,10,,,FALSE,761,761
Generator Fuel Level - CT-31,%,30,,,FALSE,762,762
Visitor Kiosk Uptime - CT-31,Hours,15,,,FALSE,763,763
Camera Uptime - CT-31,Hours,10,,,FALSE,764,764
Backhaul Signal Strength - CT-31,dBm,2,,,FALSE,765,765
Optical Link Loss - CT-31,dB,15,,,FALSE,766,766
Edge Switch Utilization - CT-31,%,3,,,FALSE,767,767
5G Sector Throughput - CT-31,Mbps,2,,,FALSE,768,768
Baseband CPU Load - CT-31,%,2,,,FALSE,769,769
RRU VSWR - CT-31,ratio,5,,,FALSE,770,770
Gateway Packet Count - CT-31,Packets/min,10,,,FALSE,771,771
Wireless Client Count - CT-31,Clients,5,,,FALSE,772,772
AP Channel Utilization - CT-31,%,5,,,FALSE,773,773
GPU Usage - CT-31,%,1,,,FALSE,774,774
Packet Capture Buffer Usage - CT-31,%,10,,,FALSE,775,775
Monitoring Appliance CPU Usage - BD-32,%,5,,,FALSE,776,776
Router CPU Usage - BD-32,%,3,,,FALSE,777,777
VMS Storage Utilization - BD-32,%,10,,,FALSE,778,778
Server Temperature - BD-32,Celsius,7,,,FALSE,779,779
Storage Latency - BD-32,ms,5,,,FALSE,780,780
Switch Port Error Rate - BD-32,Errors/sec,2,,,FALSE,781,781
Access Control Events - BD-32,Events/day,2,,,FALSE,782,782
Video Recorder Disk Health - BD-32,%,15,,,FALSE,783,783
UPS Battery Charge - BD-32,%,5,,,FALSE,784,784
ATS Transfer Count - BD-32,Transfers/month,30,,,FALSE,785,785
Cooling Supply Air Temperature - BD-32,Celsius,10,,,FALSE,786,786
Generator Fuel Level - BD-32,%,30,,,FALSE,787,787
Visitor Kiosk Uptime - BD-32,Hours,15,,,FALSE,788,788
Camera Uptime - BD-32,Hours,10,,,FALSE,789,789
Backhaul Signal Strength - BD-32,dBm,2,,,FALSE,790,790
Optical Link Loss - BD-32,dB,15,,,FALSE,791,791
Edge Switch Utilization - BD-32,%,3,,,FALSE,792,792
5G Sector Throughput - BD-32,Mbps,2,,,FALSE,793,793
Baseband CPU Load - BD-32,%,2,,,FALSE,794,794
RRU VSWR - BD-32,ratio,5,,,FALSE,795,795
Gateway Packet Count - BD-32,Packets/min,10,,,FALSE,796,796
Wireless Client Count - BD-32,Clients,5,,,FALSE,797,797
AP Channel Utilization - BD-32,%,5,,,FALSE,798,798
GPU Usage - BD-32,%,1,,,FALSE,799,799
Packet Capture Buffer Usage - BD-32,%,10,,,FALSE,800,800
Monitoring Appliance CPU Usage - HN-33,%,5,,,FALSE,801,801
Router CPU Usage - HN-33,%,3,,,FALSE,802,802
VMS Storage Utilization - HN-33,%,10,,,FALSE,803,803
Server Temperature - HN-33,Celsius,7,,,FALSE,804,804
Storage Latency - HN-33,ms,5,,,FALSE,805,805
Switch Port Error Rate - HN-33,Errors/sec,2,,,FALSE,806,806
Access Control Events - HN-33,Events/day,2,,,FALSE,807,807
Video Recorder Disk Health - HN-33,%,15,,,FALSE,808,808
UPS Battery Charge - HN-33,%,5,,,FALSE,809,809
ATS Transfer Count - HN-33,Transfers/month,30,,,FALSE,810,810
Cooling Supply Air Temperature - HN-33,Celsius,10,,,FALSE,811,811
Generator Fuel Level - HN-33,%,30,,,FALSE,812,812
Visitor Kiosk Uptime - HN-33,Hours,15,,,FALSE,813,813
Camera Uptime - HN-33,Hours,10,,,FALSE,814,814
Backhaul Signal Strength - HN-33,dBm,2,,,FALSE,815,815
Optical Link Loss - HN-33,dB,15,,,FALSE,816,816
Edge Switch Utilization - HN-33,%,3,,,FALSE,817,817
5G Sector Throughput - HN-33,Mbps,2,,,FALSE,818,818
Baseband CPU Load - HN-33,%,2,,,FALSE,819,819
RRU VSWR - HN-33,ratio,5,,,FALSE,820,820
Gateway Packet Count - HN-33,Packets/min,10,,,FALSE,821,821
Wireless Client Count - HN-33,Clients,5,,,FALSE,822,822
AP Channel Utilization - HN-33,%,5,,,FALSE,823,823
GPU Usage - HN-33,%,1,,,FALSE,824,824
Packet Capture Buffer Usage - HN-33,%,10,,,FALSE,825,825
Monitoring Appliance CPU Usage - HN-34,%,5,,,FALSE,826,826
Router CPU Usage - HN-34,%,3,,,FALSE,827,827
VMS Storage Utilization - HN-34,%,10,,,FALSE,828,828
Server Temperature - HN-34,Celsius,7,,,FALSE,829,829
Storage Latency - HN-34,ms,5,,,FALSE,830,830
Switch Port Error Rate - HN-34,Errors/sec,2,,,FALSE,831,831
Access Control Events - HN-34,Events/day,2,,,FALSE,832,832
Video Recorder Disk Health - HN-34,%,15,,,FALSE,833,833
UPS Battery Charge - HN-34,%,5,,,FALSE,834,834
ATS Transfer Count - HN-34,Transfers/month,30,,,FALSE,835,835
Cooling Supply Air Temperature - HN-34,Celsius,10,,,FALSE,836,836
Generator Fuel Level - HN-34,%,30,,,FALSE,837,837
Visitor Kiosk Uptime - HN-34,Hours,15,,,FALSE,838,838
Camera Uptime - HN-34,Hours,10,,,FALSE,839,839
Backhaul Signal Strength - HN-34,dBm,2,,,FALSE,840,840
Optical Link Loss - HN-34,dB,15,,,FALSE,841,841
Edge Switch Utilization - HN-34,%,3,,,FALSE,842,842
5G Sector Throughput - HN-34,Mbps,2,,,FALSE,843,843
Baseband CPU Load - HN-34,%,2,,,FALSE,844,844
RRU VSWR - HN-34,ratio,5,,,FALSE,845,845
Gateway Packet Count - HN-34,Packets/min,10,,,FALSE,846,846
Wireless Client Count - HN-34,Clients,5,,,FALSE,847,847
AP Channel Utilization - HN-34,%,5,,,FALSE,848,848
GPU Usage - HN-34,%,1,,,FALSE,849,849
Packet Capture Buffer Usage - HN-34,%,10,,,FALSE,850,850
Monitoring Appliance CPU Usage - HCM-35,%,5,,,FALSE,851,851
Router CPU Usage - HCM-35,%,3,,,FALSE,852,852
VMS Storage Utilization - HCM-35,%,10,,,FALSE,853,853
Server Temperature - HCM-35,Celsius,7,,,FALSE,854,854
Storage Latency - HCM-35,ms,5,,,FALSE,855,855
Switch Port Error Rate - HCM-35,Errors/sec,2,,,FALSE,856,856
Access Control Events - HCM-35,Events/day,2,,,FALSE,857,857
Video Recorder Disk Health - HCM-35,%,15,,,FALSE,858,858
UPS Battery Charge - HCM-35,%,5,,,FALSE,859,859
ATS Transfer Count - HCM-35,Transfers/month,30,,,FALSE,860,860
Cooling Supply Air Temperature - HCM-35,Celsius,10,,,FALSE,861,861
Generator Fuel Level - HCM-35,%,30,,,FALSE,862,862
Visitor Kiosk Uptime - HCM-35,Hours,15,,,FALSE,863,863
Camera Uptime - HCM-35,Hours,10,,,FALSE,864,864
Backhaul Signal Strength - HCM-35,dBm,2,,,FALSE,865,865
Optical Link Loss - HCM-35,dB,15,,,FALSE,866,866
Edge Switch Utilization - HCM-35,%,3,,,FALSE,867,867
5G Sector Throughput - HCM-35,Mbps,2,,,FALSE,868,868
Baseband CPU Load - HCM-35,%,2,,,FALSE,869,869
RRU VSWR - HCM-35,ratio,5,,,FALSE,870,870
