name,address,parent_location,vendors,contractors
Loading Bay - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Nokia, Dell, Hikvision",SaiGon MEP Solutions
Roof - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Nokia, Hikvision, Vertiv",
IDF Room 1 - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Office Floor 1 - CT-07,"Aruba, APC, Dell",
IDF Room 2 - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Office Floor 2 - CT-07,"NVIDIA, Fortinet, Juniper",
Telecom Mast - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Roof - CT-07,"Dell, Paxton, Juniper",
Base Station - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Telecom Mast - CT-07,"Paxton, Nokia, Corning",
Antenna Array - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Telecom Mast - CT-07,"Schneider Electric, Fortinet, NVIDIA",Alpha Secure Systems
Storage Room - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Juniper, NVIDIA, Paxton",
Office Floor 1 - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Nokia, Aruba, Juniper",
Office Floor 2 - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Nokia, Aruba, Cisco",Mekong Telecom Services
Lab A - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Corning, APC, Juniper",
Workshop - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"APC, Cisco, Schneider Electric",
Infrastructure Site - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",,"Juniper, Schneider Electric, APC",
Network Operations Center (NOC) - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Fortinet, Vertiv, NVIDIA",HaNoi Cooling Services
Security Operations Center (SOC) - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"NVIDIA, Ericsson, Corning",Danang Engineering Works
Server Room A - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Vertiv, Schneider Electric, NVIDIA",
Server Room B - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"APC, Hikvision, Juniper",Danang Engineering Works
Network Closet - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Hikvision, Aruba, Vertiv",
Access Control Room - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Corning, Schneider Electric, APC",Red River Power Co.
Video Surveillance Room - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Dell, Vertiv, Hikvision",
UPS Room - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Paxton, APC, Fortinet",
Electrical Room - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"NVIDIA, Paxton, Ericsson",Alpha Secure Systems
HVAC Plant - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Juniper, Hikvision, NVIDIA",
Generator Yard - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Ericsson, Aruba, Hikvision",
Reception - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Corning, NVIDIA, Vertiv",
Loading Bay - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Cisco, Juniper, Paxton",Alpha Secure Systems
Roof - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Paxton, Corning, Nokia",
IDF Room 1 - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Office Floor 1 - BD-08,"Ericsson, Fortinet, APC",
IDF Room 2 - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Office Floor 2 - BD-08,"NVIDIA, Ericsson, APC",
Telecom Mast - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Roof - BD-08,"Vertiv, Paxton, Aruba",SaiGon MEP Solutions
Base Station - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Telecom Mast - BD-08,"NVIDIA, Hikvision, APC",HaNoi Cooling Services
Antenna Array - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Telecom Mast - BD-08,"Hikvision, Fortinet, NVIDIA",
Storage Room - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"NVIDIA, Nokia, Ericsson",
Office Floor 1 - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Juniper, Hikvision, Paxton",HaNoi Cooling Services
Office Floor 2 - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Paxton, Cisco, NVIDIA",
Lab A - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"Paxton, Cisco, Aruba",
Workshop - BD-08,"156 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-08,"NVIDIA, Dell, Corning",
Infrastructure Site - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",,"Vertiv, Juniper, Cisco",
Network Operations Center (NOC) - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Vertiv, Fortinet, Aruba",VN Facilities Services
Security Operations Center (SOC) - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Paxton, Vertiv, Juniper",
Server Room A - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Schneider Electric, Vertiv, Juniper",
Server Room B - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Corning, Cisco, Dell",Metro Cabling Partners
Network Closet - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Juniper, Hikvision, Fortinet",
Access Control Room - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Schneider Electric, Nokia, Aruba",
Video Surveillance Room - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Hikvision, Aruba, Ericsson",
UPS Room - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Vertiv, Paxton, Nokia",
Electrical Room - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Paxton, Nokia, Aruba",SaiGon MEP Solutions
HVAC Plant - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Aruba, Hikvision, Corning",SaiGon MEP Solutions
Generator Yard - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Dell, Hikvision, Fortinet",
Reception - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Dell, Cisco, Schneider Electric",
Loading Bay - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Nokia, Vertiv, Paxton",Metro Cabling Partners
Roof - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"NVIDIA, Paxton, Fortinet",
IDF Room 1 - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Office Floor 1 - HN-09,"Juniper, Corning, Hikvision",
IDF Room 2 - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Office Floor 2 - HN-09,"Aruba, Fortinet, Corning",
Telecom Mast - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Roof - HN-09,"Aruba, Hikvision, Schneider Electric",Alpha Secure Systems
Base Station - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Telecom Mast - HN-09,"Corning, Dell, Paxton",
Antenna Array - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Telecom Mast - HN-09,"Juniper, Cisco, Dell",
Storage Room - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Nokia, NVIDIA, Fortinet",
Office Floor 1 - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Vertiv, Juniper, Fortinet",
Office Floor 2 - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"NVIDIA, Schneider Electric, Paxton",
Lab A - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Vertiv, Fortinet, Juniper",
Workshop - HN-09,"163 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-09,"Schneider Electric, NVIDIA, APC",
Infrastructure Site - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",,"Cisco, Juniper, Hikvision",
Network Operations Center (NOC) - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Fortinet, Nokia, Aruba",
Security Operations Center (SOC) - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Aruba, Corning, Paxton",
Server Room A - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Aruba, Fortinet, Dell",
Server Room B - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Corning, Vertiv, Paxton",Mekong Telecom Services
Network Closet - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Corning, Vertiv, Juniper",
Access Control Room - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Schneider Electric, APC, Aruba",
Video Surveillance Room - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Fortinet, Dell, APC",
UPS Room - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Vertiv, Paxton, Corning",
Electrical Room - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Fortinet, Aruba, Ericsson",SaiGon MEP Solutions
HVAC Plant - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"APC, Paxton, Fortinet",Mekong Telecom Services
Generator Yard - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Fortinet, Ericsson, Cisco",
Reception - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Ericsson, Vertiv, Schneider Electric",Red River Power Co.
Loading Bay - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Nokia, Aruba, Vertiv",
Roof - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Aruba, Cisco, Hikvision",HaNoi Cooling Services
IDF Room 1 - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Office Floor 1 - HN-10,"Paxton, Vertiv, NVIDIA",
IDF Room 2 - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Office Floor 2 - HN-10,"Cisco, Corning, Nokia",
Telecom Mast - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Roof - HN-10,"NVIDIA, Dell, Paxton",
Base Station - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Telecom Mast - HN-10,"Ericsson, Schneider Electric, Juniper",SaiGon MEP Solutions
Antenna Array - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Telecom Mast - HN-10,"Vertiv, Juniper, Corning",
Storage Room - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Vertiv, NVIDIA, Paxton",
Office Floor 1 - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Paxton, Schneider Electric, Vertiv",
Office Floor 2 - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Hikvision, Vertiv, Ericsson",Alpha Secure Systems
Lab A - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Nokia, Ericsson, NVIDIA",
Workshop - HN-10,"170 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-10,"Fortinet, Juniper, Paxton",
Infrastructure Site - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",,"Fortinet, Schneider Electric, APC",
Network Operations Center (NOC) - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Ericsson, Paxton, Cisco",Metro Cabling Partners
Security Operations Center (SOC) - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Fortinet, Nokia, Aruba",
Server Room A - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Vertiv, Dell, Fortinet",
Server Room B - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"APC, Fortinet, Ericsson",
Network Closet - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Schneider Electric, Vertiv, APC",
Access Control Room - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"NVIDIA, Hikvision, Nokia",
Video Surveillance Room - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Fortinet, Aruba, Schneider Electric",Danang Engineering Works
UPS Room - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"NVIDIA, Aruba, Schneider Electric",
Electrical Room - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Corning, Aruba, Fortinet",
HVAC Plant - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Vertiv, Cisco, Dell",
Generator Yard - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Nokia, APC, Juniper",
Reception - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Vertiv, Juniper, Ericsson",
Loading Bay - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Cisco, NVIDIA, Dell",
Roof - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Corning, Dell, Juniper",
IDF Room 1 - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Office Floor 1 - HCM-11,"Paxton, APC, Nokia",
IDF Room 2 - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Office Floor 2 - HCM-11,"Corning, Juniper, APC",
Telecom Mast - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Roof - HCM-11,"Fortinet, Ericsson, Schneider Electric",
Base Station - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-11,"Corning, NVIDIA, Vertiv",
Antenna Array - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-11,"Cisco, Nokia, Juniper",Metro Cabling Partners
Storage Room - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Hikvision, NVIDIA, Juniper",
Office Floor 1 - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Juniper, Aruba, Corning",
Office Floor 2 - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Juniper, Vertiv, Dell",
Lab A - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Cisco, Fortinet, APC",
Workshop - HCM-11,"177 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-11,"Paxton, APC, Aruba",
Infrastructure Site - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",,"Hikvision, Ericsson, Schneider Electric",
Network Operations Center (NOC) - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Aruba, Dell, Fortinet",Mekong Telecom Services
Security Operations Center (SOC) - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Nokia, Corning, Hikvision",
Server Room A - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Nokia, Dell, Hikvision",
Server Room B - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Paxton, Vertiv, Fortinet",
Network Closet - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Aruba, Vertiv, Paxton",
Access Control Room - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Dell, Juniper, Vertiv",
Video Surveillance Room - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Nokia, Paxton, Corning",
UPS Room - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"NVIDIA, Paxton, Vertiv",
Electrical Room - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Hikvision, Schneider Electric, Vertiv",Mekong Telecom Services
HVAC Plant - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Nokia, APC, Fortinet",Metro Cabling Partners
Generator Yard - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Cisco, Corning, Schneider Electric",VN Facilities Services
Reception - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Nokia, NVIDIA, Vertiv",
Loading Bay - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Paxton, Aruba, Hikvision",
Roof - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"APC, Hikvision, Corning",Metro Cabling Partners
IDF Room 1 - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Office Floor 1 - HCM-12,"Corning, Aruba, NVIDIA",
IDF Room 2 - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Office Floor 2 - HCM-12,"Corning, Dell, Fortinet",VN Facilities Services
Telecom Mast - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Roof - HCM-12,"Paxton, Aruba, Vertiv",Red River Power Co.
Base Station - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-12,"NVIDIA, Dell, Juniper",
Antenna Array - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-12,"APC, NVIDIA, Schneider Electric",HaNoi Cooling Services
Storage Room - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Aruba, Ericsson, APC",
Office Floor 1 - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Paxton, Dell, Fortinet",
Office Floor 2 - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Vertiv, Aruba, Paxton",
Lab A - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"APC, Aruba, Juniper",
Workshop - HCM-12,"184 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-12,"Juniper, Dell, Hikvision",
Infrastructure Site - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",,"NVIDIA, Corning, Schneider Electric",
Network Operations Center (NOC) - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Aruba, Ericsson, APC",Mekong Telecom Services
Security Operations Center (SOC) - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Cisco, Paxton, Ericsson",Red River Power Co.
Server Room A - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Corning, NVIDIA, Fortinet",Mekong Telecom Services
Server Room B - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Fortinet, Corning, APC",Alpha Secure Systems
Network Closet - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Vertiv, Cisco, Nokia",
Access Control Room - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Ericsson, APC, Nokia",SaiGon MEP Solutions
Video Surveillance Room - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Corning, Vertiv, NVIDIA",Mekong Telecom Services
UPS Room - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Juniper, Dell, Cisco",
Electrical Room - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Paxton, Vertiv, Juniper",HaNoi Cooling Services
HVAC Plant - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Schneider Electric, Vertiv, APC",
Generator Yard - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"NVIDIA, Fortinet, Ericsson",
Reception - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"NVIDIA, Fortinet, Dell",
Loading Bay - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Corning, Juniper, Vertiv",
Roof - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Paxton, Cisco, NVIDIA",
IDF Room 1 - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Office Floor 1 - DN-13,"Vertiv, Fortinet, Hikvision",
IDF Room 2 - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Office Floor 2 - DN-13,"Juniper, Corning, APC",
Telecom Mast - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Roof - DN-13,"Corning, APC, Cisco",
Base Station - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Telecom Mast - DN-13,"Hikvision, Juniper, Vertiv",Alpha Secure Systems
Antenna Array - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Telecom Mast - DN-13,"Corning, Fortinet, Nokia",
Storage Room - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Cisco, Aruba, APC",HaNoi Cooling Services
Office Floor 1 - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Aruba, Nokia, Hikvision",Alpha Secure Systems
Office Floor 2 - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Nokia, Hikvision, Aruba",HaNoi Cooling Services
Lab A - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Aruba, Nokia, Cisco",HaNoi Cooling Services
Workshop - DN-13,"191 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-13,"Dell, Ericsson, Paxton",
Infrastructure Site - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",,"Juniper, Corning, Cisco",Red River Power Co.
Network Operations Center (NOC) - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Aruba, Fortinet, Hikvision",
Security Operations Center (SOC) - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Cisco, Dell, Paxton",Mekong Telecom Services
Server Room A - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Ericsson, Juniper, NVIDIA",Danang Engineering Works
